E-EF_eV,total,Cl,Li,P,S
-8.000,0.0000,0.0000,0.0000,0.0000,0.0000
-7.990,0.0000,0.0000,0.0000,0.0000,0.0000
-7.980,0.0000,0.0000,0.0000,0.0000,0.0000
-7.970,0.0000,0.0000,0.0000,0.0000,0.0000
-7.960,0.0000,0.0000,0.0000,0.0000,0.0000
-7.950,0.0000,0.0000,0.0000,0.0000,0.0000
-7.940,0.0000,0.0000,0.0000,0.0000,0.0000
-7.930,0.0000,0.0000,0.0000,0.0000,0.0000
-7.920,0.0000,0.0000,0.0000,0.0000,0.0000
-7.910,0.0000,0.0000,0.0000,0.0000,0.0000
-7.900,0.0000,0.0000,0.0000,0.0000,0.0000
-7.890,0.0000,0.0000,0.0000,0.0000,0.0000
-7.880,0.0000,0.0000,0.0000,0.0000,0.0000
-7.870,0.0000,0.0000,0.0000,0.0000,0.0000
-7.860,0.0000,0.0000,0.0000,0.0000,0.0000
-7.850,0.0000,0.0000,0.0000,0.0000,0.0000
-7.840,0.0000,0.0000,0.0000,0.0000,0.0000
-7.830,0.0000,0.0000,0.0000,0.0000,0.0000
-7.820,0.0000,0.0000,0.0000,0.0000,0.0000
-7.810,0.0000,0.0000,0.0000,0.0000,0.0000
-7.800,0.0000,0.0000,0.0000,0.0000,0.0000
-7.790,0.0000,0.0000,0.0000,0.0000,0.0000
-7.780,0.0000,0.0000,0.0000,0.0000,0.0000
-7.770,0.0000,0.0000,0.0000,0.0000,0.0000
-7.760,0.0000,0.0000,0.0000,0.0000,0.0000
-7.750,0.0000,0.0000,0.0000,0.0000,0.0000
-7.740,0.0000,0.0000,0.0000,0.0000,0.0000
-7.730,0.0000,0.0000,0.0000,0.0000,0.0000
-7.720,0.0000,0.0000,0.0000,0.0000,0.0000
-7.710,0.0000,0.0000,0.0000,0.0000,0.0000
-7.700,0.0000,0.0000,0.0000,0.0000,0.0000
-7.690,0.0000,0.0000,0.0000,0.0000,0.0000
-7.680,0.0000,0.0000,0.0000,0.0000,0.0000
-7.670,0.0000,0.0000,0.0000,0.0000,0.0000
-7.660,0.0000,0.0000,0.0000,0.0000,0.0000
-7.650,0.0000,0.0000,0.0000,0.0000,0.0000
-7.640,0.0000,0.0000,0.0000,0.0000,0.0000
-7.630,0.0000,0.0000,0.0000,0.0000,0.0000
-7.620,0.0000,0.0000,0.0000,0.0000,0.0000
-7.610,0.0000,0.0000,0.0000,0.0000,0.0000
-7.600,0.0000,0.0000,0.0000,0.0000,0.0000
-7.590,0.0000,0.0000,0.0000,0.0000,0.0000
-7.580,0.0000,0.0000,0.0000,0.0000,0.0000
-7.570,0.0000,0.0000,0.0000,0.0000,0.0000
-7.560,0.0000,0.0000,0.0000,0.0000,0.0000
-7.550,0.0000,0.0000,0.0000,0.0000,0.0000
-7.540,0.0000,0.0000,0.0000,0.0000,0.0000
-7.530,0.0000,0.0000,0.0000,0.0000,0.0000
-7.520,0.0000,0.0000,0.0000,0.0000,0.0000
-7.510,0.0000,0.0000,0.0000,0.0000,0.0000
-7.500,0.0000,0.0000,0.0000,0.0000,0.0000
-7.490,0.0000,0.0000,0.0000,0.0000,0.0000
-7.480,0.0000,0.0000,0.0000,0.0000,0.0000
-7.470,0.0000,0.0000,0.0000,0.0000,0.0000
-7.460,0.0000,0.0000,0.0000,0.0000,0.0000
-7.450,0.0000,0.0000,0.0000,0.0000,0.0000
-7.440,0.0000,0.0000,0.0000,0.0000,0.0000
-7.430,0.0000,0.0000,0.0000,0.0000,0.0000
-7.420,0.0000,0.0000,0.0000,0.0000,0.0000
-7.410,0.0000,0.0000,0.0000,0.0000,0.0000
-7.400,0.0000,0.0000,0.0000,0.0000,0.0000
-7.390,0.0000,0.0000,0.0000,0.0000,0.0000
-7.380,0.0000,0.0000,0.0000,0.0000,0.0000
-7.370,0.0000,0.0000,0.0000,0.0000,0.0000
-7.360,0.0000,0.0000,0.0000,0.0000,0.0000
-7.350,0.0000,0.0000,0.0000,0.0000,0.0000
-7.340,0.0000,0.0000,0.0000,0.0000,0.0000
-7.330,0.0000,0.0000,0.0000,0.0000,0.0000
-7.320,0.0000,0.0000,0.0000,0.0000,0.0000
-7.310,0.0000,0.0000,0.0000,0.0000,0.0000
-7.300,0.0000,0.0000,0.0000,0.0000,0.0000
-7.290,0.0000,0.0000,0.0000,0.0000,0.0000
-7.280,0.0000,0.0000,0.0000,0.0000,0.0000
-7.270,0.0000,0.0000,0.0000,0.0000,0.0000
-7.260,0.0000,0.0000,0.0000,0.0000,0.0000
-7.250,0.0000,0.0000,0.0000,0.0000,0.0000
-7.240,0.0000,0.0000,0.0000,0.0000,0.0000
-7.230,0.0000,0.0000,0.0000,0.0000,0.0000
-7.220,0.0000,0.0000,0.0000,0.0000,0.0000
-7.210,0.0000,0.0000,0.0000,0.0000,0.0000
