E-EF,total,Cl,Li,P,S
-46.2550,4.116e+05,582.6,4.1011e+05,76.27,779.21
-46.2450,0,0,0,0,0
-46.2350,0,0,0,0,0
-46.2250,0,0,0,0,0
-46.2150,0,0,0,0,0
-46.2050,0,0,0,0,0
-46.1950,0,0,0,0,0
-46.1850,0,0,0,0,0
-46.1750,0,0,0,0,0
-46.1650,0,0,0,0,0
-46.1550,0,0,0,0,0
-46.1450,0,0,0,0,0
-46.1350,0,0,0,0,0
-46.1250,0,0,0,0,0
-46.1150,0,0,0,0,0
-46.1050,0,0,0,0,0
-46.0950,0,0,0,0,0
-46.0850,0,0,0,0,0
-46.0750,0,0,0,0,0
-46.0650,0,0,0,0,0
-46.0550,0,0,0,0,0
-46.0450,0,0,0,0,0
-46.0350,0,0,0,0,0
-46.0250,0,0,0,0,0
-46.0150,0,0,0,0,0
-46.0050,0,0,0,0,0
-45.9950,0,0,0,0,0
-45.9850,0,0,0,0,0
-45.9750,0,0,0,0,0
-45.9650,0,0,0,0,0
-45.9550,0,0,0,0,0
-45.9450,0,0,0,0,0
-45.9350,0,0,0,0,0
-45.9250,0,0,0,0,0
-45.9150,0,0,0,0,0
-45.9050,0,0,0,0,0
-45.8950,0,0,0,0,0
-45.8850,0,0,0,0,0
-45.8750,0,0,0,0,0
-45.8650,0,0,0,0,0
-45.8550,0,0,0,0,0
-45.8450,0,0,0,0,0
-45.8350,0,0,0,0,0
-45.8250,0,0,0,0,0
-45.8150,0,0,0,0,0
-45.8050,0,0,0,0,0
-45.7950,0,0,0,0,0
-45.7850,0,0,0,0,0
-45.7750,0,0,0,0,0
-45.7650,0,0,0,0,0
-45.7550,0,0,0,0,0
-45.7450,0,0,0,0,0
-45.7350,0,0,0,0,0
-45.7250,0,0,0,0,0
-45.7150,0,0,0,0,0
-45.7050,0,0,0,0,0
-45.6950,0,0,0,0,0
-45.6850,0,0,0,0,0
-45.6750,0,0,0,0,0
-45.6650,0,0,0,0,0
-45.6550,0,0,0,0,0
-45.6450,0,0,0,0,0
-45.6350,0,0,0,0,0
-45.6250,0,0,0,0,0
-45.6150,0,0,0,0,0
-45.6050,0,0,0,0,0
-45.5950,0,0,0,0,0
-45.5850,0,0,0,0,0
-45.5750,0,0,0,0,0
-45.5650,0,0,0,0,0
-45.5550,0,0,0,0,0
-45.5450,0,0,0,0,0
-45.5350,0,0,0,0,0
-45.5250,0,0,0,0,0
-45.5150,0,0,0,0,0
-45.5050,0,0,0,0,0
-45.4950,0,0,0,0,0
-45.4850,0,0,0,0,0
-45.4750,0,0,0,0,0
-45.4650,0,0,0,0,0
-45.4550,0,0,0,0,0
-45.4450,0,0,0,0,0
-45.4350,0,0,0,0,0
-45.4250,0,0,0,0,0
-45.4150,0,0,0,0,0
-45.4050,0,0,0,0,0
-45.3950,0,0,0,0,0
-45.3850,0,0,0,0,0
-45.3750,0,0,0,0,0
-45.3650,0,0,0,0,0
-45.3550,0,0,0,0,0
-45.3450,0,0,0,0,0
-45.3350,0,0,0,0,0
-45.3250,0,0,0,0,0
-45.3150,0,0,0,0,0
-45.3050,0,0,0,0,0
-45.2950,0,0,0,0,0
-45.2850,0,0,0,0,0
-45.2750,0,0,0,0,0
-45.2650,0,0,0,0,0
-45.2550,0,0,0,0,0
-45.2450,0,0,0,0,0
-45.2350,0,0,0,0,0
-45.2250,0,0,0,0,0
-45.2150,0,0,0,0,0
-45.2050,0,0,0,0,0
-45.1950,0,0,0,0,0
-45.1850,0,0,0,0,0
-45.1750,0,0,0,0,0
-45.1650,0,0,0,0,0
-45.1550,0,0,0,0,0
-45.1450,0,0,0,0,0
-45.1350,0,0,0,0,0
-45.1250,0,0,0,0,0
-45.1150,0,0,0,0,0
-45.1050,0,0,0,0,0
-45.0950,0,0,0,0,0
-45.0850,0,0,0,0,0
-45.0750,0,0,0,0,0
-45.0650,0,0,0,0,0
-45.0550,0,0,0,0,0
-45.0450,0,0,0,0,0
-45.0350,0,0,0,0,0
-45.0250,0,0,0,0,0
-45.0150,0,0,0,0,0
-45.0050,0,0,0,0,0
-44.9950,0,0,0,0,0
-44.9850,0,0,0,0,0
-44.9750,0,0,0,0,0
-44.9650,0,0,0,0,0
-44.9550,0,0,0,0,0
-44.9450,0,0,0,0,0
-44.9350,0,0,0,0,0
-44.9250,0,0,0,0,0
-44.9150,0,0,0,0,0
-44.9050,0,0,0,0,0
-44.8950,0,0,0,0,0
-44.8850,0,0,0,0,0
