E-EF,total,Cl,Li,P,S
-46.3310,6234,4.9967,6212.2,0.16832,19.32
-46.3210,0,0,0,0,0
-46.3110,0,0,0,0,0
-46.3010,0,0,0,0,0
-46.2910,0,0,0,0,0
-46.2810,0,0,0,0,0
-46.2710,0,0,0,0,0
-46.2610,0,0,0,0,0
-46.2510,0,0,0,0,0
-46.2410,0,0,0,0,0
-46.2310,0,0,0,0,0
-46.2210,0,0,0,0,0
-46.2110,0,0,0,0,0
-46.2010,0,0,0,0,0
-46.1910,0,0,0,0,0
-46.1810,0,0,0,0,0
-46.1710,0,0,0,0,0
-46.1610,0,0,0,0,0
-46.1510,0,0,0,0,0
-46.1410,0,0,0,0,0
-46.1310,0,0,0,0,0
-46.1210,0,0,0,0,0
-46.1110,0,0,0,0,0
-46.1010,0,0,0,0,0
-46.0910,0,0,0,0,0
-46.0810,0,0,0,0,0
-46.0710,0,0,0,0,0
-46.0610,0,0,0,0,0
-46.0510,0,0,0,0,0
-46.0410,0,0,0,0,0
-46.0310,0,0,0,0,0
-46.0210,0,0,0,0,0
-46.0110,0,0,0,0,0
-46.0010,0,0,0,0,0
-45.9910,0,0,0,0,0
-45.9810,0,0,0,0,0
-45.9710,0,0,0,0,0
-45.9610,0,0,0,0,0
-45.9510,0,0,0,0,0
-45.9410,0,0,0,0,0
-45.9310,0,0,0,0,0
-45.9210,0,0,0,0,0
-45.9110,0,0,0,0,0
-45.9010,0,0,0,0,0
-45.8910,0,0,0,0,0
-45.8810,0,0,0,0,0
-45.8710,0,0,0,0,0
-45.8610,0,0,0,0,0
-45.8510,0,0,0,0,0
-45.8410,0,0,0,0,0
-45.8310,0,0,0,0,0
-45.8210,0,0,0,0,0
-45.8110,0,0,0,0,0
-45.8010,0,0,0,0,0
-45.7910,0,0,0,0,0
-45.7810,0,0,0,0,0
-45.7710,0,0,0,0,0
-45.7610,0,0,0,0,0
-45.7510,0,0,0,0,0
-45.7410,0,0,0,0,0
-45.7310,0,0,0,0,0
-45.7210,0,0,0,0,0
-45.7110,0,0,0,0,0
-45.7010,0,0,0,0,0
-45.6910,0,0,0,0,0
-45.6810,0,0,0,0,0
-45.6710,0,0,0,0,0
-45.6610,0,0,0,0,0
-45.6510,0,0,0,0,0
-45.6410,0,0,0,0,0
-45.6310,0,0,0,0,0
-45.6210,0,0,0,0,0
-45.6110,0,0,0,0,0
-45.6010,0,0,0,0,0
-45.5910,0,0,0,0,0
-45.5810,0,0,0,0,0
-45.5710,0,0,0,0,0
-45.5610,0,0,0,0,0
-45.5510,0,0,0,0,0
-45.5410,0,0,0,0,0
-45.5310,0,0,0,0,0
-45.5210,0,0,0,0,0
-45.5110,0,0,0,0,0
-45.5010,0,0,0,0,0
-45.4910,0,0,0,0,0
-45.4810,0,0,0,0,0
-45.4710,0,0,0,0,0
-45.4610,0,0,0,0,0
-45.4510,0,0,0,0,0
-45.4410,0,0,0,0,0
-45.4310,0,0,0,0,0
-45.4210,0,0,0,0,0
-45.4110,0,0,0,0,0
-45.4010,0,0,0,0,0
-45.3910,0,0,0,0,0
-45.3810,0,0,0,0,0
-45.3710,0,0,0,0,0
-45.3610,0,0,0,0,0
-45.3510,0,0,0,0,0
-45.3410,0,0,0,0,0
-45.3310,0,0,0,0,0
-45.3210,0,0,0,0,0
-45.3110,0,0,0,0,0
-45.3010,0,0,0,0,0
-45.2910,0,0,0,0,0
-45.2810,0,0,0,0,0
-45.2710,0,0,0,0,0
-45.2610,0,0,0,0,0
-45.2510,0,0,0,0,0
-45.2410,0,0,0,0,0
-45.2310,0,0,0,0,0
-45.2210,0,0,0,0,0
-45.2110,0,0,0,0,0
-45.2010,0,0,0,0,0
-45.1910,0,0,0,0,0
-45.1810,0,0,0,0,0
-45.1710,0,0,0,0,0
-45.1610,0,0,0,0,0
-45.1510,0,0,0,0,0
-45.1410,0,0,0,0,0
-45.1310,0,0,0,0,0
-45.1210,0,0,0,0,0
-45.1110,0,0,0,0,0
-45.1010,0,0,0,0,0
-45.0910,0,0,0,0,0
-45.0810,0,0,0,0,0
-45.0710,0,0,0,0,0
-45.0610,0,0,0,0,0
-45.0510,0,0,0,0,0
-45.0410,0,0,0,0,0
-45.0310,0,0,0,0,0
-45.0210,0,0,0,0,0
-45.0110,0,0,0,0,0
-45.0010,0,0,0,0,0
-44.9910,0,0,0,0,0
-44.9810,0,0,0,0,0
-44.9710,0,0,0,0,0
-44.9610,0,0,0,0,0
-44.9510,0,0,0,0,0
-44.9410,0,0,0,0,0
-44.9310,0,0,0,0,0
-44.9210,0,0,0,0,0
-44.9110,0,0,0,0,0
-44.9010,0,0,0,0,0
-44.8910,0,0,0,0,0
-44.8810,0,0,0,0,0
-44.8710,0,0,0,0,0
-44.8610,0,0,0,0,0
-44.8510,0,0,0,0,0
-44.8410,0,0,0,0,0
-44.8310,0,0,0,0,0
-44.8210,0,0,0,0,0
-44.8110,0,0,0,0,0
-44.8010,0,0,0,0,0
-44.7910,0,0,0,0,0
-44.7810,0,0,0,0,0
-44.7710,0,0,0,0,0
-44.7610,0,0,0,0,0
-44.7510,0,0,0,0,0
-44.7410,0,0,0,0,0
-44.7310,0,0,0,0,0
-44.7210,0,0,0,0,0
-44.7110,0,0,0,0,0
-44.7010,0,0,0,0,0
-44.6910,0,0,0,0,0
-44.6810,0,0,0,0,0
-44.6710,0,0,0,0,0
-44.6610,0,0,0,0,0
-44.6510,0,0,0,0,0
-44.6410,0,0,0,0,0
-44.6310,0,0,0,0,0
-44.6210,0,0,0,0,0
-44.6110,0,0,0,0,0
-44.6010,0,0,0,0,0
-44.5910,0,0,0,0,0
-44.5810,0,0,0,0,0
-44.5710,0,0,0,0,0
-44.5610,0,0,0,0,0
-44.5510,0,0,0,0,0
-44.5410,0,0,0,0,0
-44.5310,0,0,0,0,0
-44.5210,0,0,0,0,0
-44.5110,0,0,0,0,0
-44.5010,0,0,0,0,0
-44.4910,0,0,0,0,0
-44.4810,0,0,0,0,0
-44.4710,0,0,0,0,0
-44.4610,0,0,0,0,0
-44.4510,0,0,0,0,0
-44.4410,0,0,0,0,0
-44.4310,0,0,0,0,0
-44.4210,0,0,0,0,0
-44.4110,0,0,0,0,0
-44.4010,0,0,0,0,0
-44.3910,0,0,0,0,0
-44.3810,0,0,0,0,0
-44.3710,0,0,0,0,0
-44.3610,0,0,0,0,0
-44.3510,0,0,0,0,0
-44.3410,0,0,0,0,0
-44.3310,0,0,0,0,0
-44.3210,0,0,0,0,0
-44.3110,0,0,0,0,0
-44.3010,0,0,0,0,0
-44.2910,0,0,0,0,0
-44.2810,0,0,0,0,0
-44.2710,0,0,0,0,0
-44.2610,0,0,0,0,0
-44.2510,0,0,0,0,0
-44.2410,0,0,0,0,0
-44.2310,0,0,0,0,0
-44.2210,0,0,0,0,0
-44.2110,0,0,0,0,0
-44.2010,0,0,0,0,0
-44.1910,0,0,0,0,0
-44.1810,0,0,0,0,0
-44.1710,0,0,0,0,0
-44.1610,0,0,0,0,0
-44.1510,0,0,0,0,0
-44.1410,0,0,0,0,0
-44.1310,0,0,0,0,0
