x,cond_id,q_mah,q_over_q0,q_pred_1_minus_x,q_rel_err_pct,max_abs_dv_mV,rms_dv_mV,x_at_max
0.0,03ccd8aefe0b,5621.073220520553,1.0,1.0,0.0,0.0,0.0,0.020066889632107024
0.02,a98c837ee8ad,5507.871924448967,0.9798612664111315,0.98,-0.014156488660052195,0.7627756046875156,0.2975035221580065,0.8394648829431438
0.04,2dbe09cace89,5394.547837770979,0.9597006881314746,0.96,-0.031178319638061152,1.514714466525735,0.588946201315754,0.8394648829431438
0.06,282a43e3f296,5280.9787427470155,0.939496522384378,0.94,-0.053561448470422574,2.2343081540463494,0.8432837299516128,0.8394648829431438
0.08,9f6b3da88858,5167.510447404444,0.9193102890991863,0.92,-0.07496857617540341,3.0069905773570937,1.1382633363054224,0.8394648829431438
0.1,c859fd84a354,5054.161474110272,0.8991452834414811,0.9,-0.09496850650209727,3.8395070797569986,1.4737658972556504,0.8394648829431438
0.12,8d0229754fec,4940.769184180618,0.8789725716689857,0.88,-0.11675321943344591,4.679514886682057,1.820696689482779,0.8394648829431438
0.14,fba031aa76ab,4827.359137550016,0.8587967009444092,0.86,-0.13991849483613963,5.5586116032695365,2.170192535728056,0.8394648829431438
0.16,d0f225abeb7a,4713.82018597592,0.8385978977764295,0.84,-0.16691693137744187,6.412130223529822,2.5131439933749125,0.8394648829431438
0.18,6fc8c147e0c9,4600.447481109498,0.8184286702252674,0.8200000000000001,-0.19162558228446605,7.333241244326771,2.904775163699159,0.8394648829431438
0.2,3fa70a3e644a,4486.970131027914,0.7982408260841668,0.8,-0.21989673947915567,8.270716777284193,3.29118775252996,0.8394648829431438
