half_cell,si,w_dqdv,obj,rmse_pocv,a_PE,b_PE,a_NE,b_NE,gamma_Si,bounds,ref_bounds,LAM_PE_pct,LAM_NE_pct,LLI_pct
GITT,Baggetto,0.0,0.6510000379608751,0.022781427891692962,1.1335405007146508,-0.11259827529581527,1.0,-0.02091263752617594,0.0,"a_NE=lb,gamma_Si=lb","b_PE=ub,a_NE=lb,gamma_Si=lb",7.024164316753155,14.665666724699022,16.093188813424593
GITT,Baggetto,1.0,1.737576900097494,0.04528942970791497,1.1267054021064549,-0.0975531294110746,1.0,-0.17987787141892353,0.309915600422016,a_NE=lb,"b_PE=ub,a_NE=lb",7.66385658977129,14.665666724699022,15.306040248568204
GITT,Friedrich,0.0,0.7410977678688202,0.02919900152838094,1.1092807612417526,-0.09200726165407916,1.0,-0.03687189486980588,0.0,"a_NE=lb,gamma_Si=lb","b_PE=ub,a_NE=lb,gamma_Si=lb",9.317960029711715,14.665666724699022,16.49515506813967
GITT,Friedrich,1.0,1.9222072320023131,0.06793115647669641,1.0451628873522243,-0.03581276857529137,1.0,-0.5,0.5,"a_NE=lb,b_NE=lb,gamma_Si=ub","b_PE=ub,a_NE=lb,gamma_Si=ub",14.825968786853782,14.665666724699022,-4.535909019288867
GITT,Jiang,0.0,0.5130688920607811,0.007521826168982142,1.168816832869127,-0.1317803884872244,1.1091484001018883,0.006269869544676867,0.19649159257686893,-,-,6.697824012501886,6.114865267938916,15.721671002517928
GITT,Jiang,1.0,1.0561344103905428,0.010759760013292555,1.1483663427009387,-0.1197337068279075,1.0733256353424183,0.0058112372705413345,0.25132645942501325,-,a_NE=lb,12.173226082716708,8.408472520765907,17.798677598373438
GITT,Kunz,0.0,0.5301516448881674,0.006185594726627471,1.1899960676589452,-0.14718119657381556,1.162320850601083,-0.014877281689297818,0.18697446133992354,-,-,7.1881337118267234,6.361889425744684,15.806125661613626
GITT,Kunz,1.0,1.121067400168667,0.012103764981614914,1.145001761192637,-0.11898915300883624,1.1379510440225205,-0.017980156306261562,0.22599907938648928,-,-,13.095258512027385,5.261843244152159,17.938088190146075
GITT,Li,0.0,0.5082047646329861,0.007586359873898651,1.1808570615935283,-0.14075812032140944,1.0807155435369884,-0.0007746252198250992,0.23968577274214312,-,-,6.35617960156393,7.895695677155118,15.700072087548092
GITT,Li,1.0,1.0436833414883027,0.009895691937474445,1.152371534306238,-0.1228220178415522,1.07673977030328,-0.0010400392313652705,0.24930781238516267,-,a_NE=lb,12.213447026981166,8.11712959016889,17.818813180771894
GITT,Lu,0.0,0.5061082241853349,0.005533624516208583,1.1946033416353279,-0.1507619742181434,1.0754727019405745,-0.003901418806654509,0.19317959376539456,-,a_NE=lb,6.608791588196046,8.22525402411458,15.62890224047023
GITT,Lu,1.0,1.0559278282867797,0.009404732092881325,1.1593567101004765,-0.1282331659780174,1.05145581073176,-0.0048477685763616465,0.21477042089658904,-,a_NE=lb,10.965050945317149,10.274719422764218,17.284843035786547
