No,논문 제목,저자·연도,학술지 (권·페이지),DOI,조성,연구 유형,물성 분류,핵심 결과,본 연구와의 관련성
1,Li6PS5X: A Class of Crystalline Li-Rich Solids With an Unusually High Li+ Mobility,"Deiseroth et al., 2008","Angew. Chem. Int. Ed. 47, 755",10.1002/anie.200703900,"Li6PS5X (X=Cl, Br, I)",실험,전도도·구조,"argyrodite 최초 보고. 입방 F-43m. S2-와 halide가 4a/4c 자리를 공유하는 site disorder. 높은 Li+ 이동성.",두 비교 조성의 모(母)구조와 disorder 개념의 출발점
2,Influence of Lattice Polarizability on the Ionic Conductivity in the Lithium Superionic Argyrodites Li6PS5X (X=Cl/Br/I),"Kraft et al., 2018","J. Am. Chem. Soc. 140, 16330",10.1021/jacs.7b06327,"Li6PS5X (X=Cl, Br, I)",실험,전도도,"halide 자리 무질서와 격자 분극률이 이온전도도를 지배. Li6PS5Cl 활성화에너지 약 0.25 eV.","우리 활성화에너지(0.253 eV)와 비교; '무질서→전도도' 서사의 실험 근거"
3,Boosting Solid-State Diffusivity and Conductivity in Lithium Superionic Argyrodites by Halide Substitution,"Adeli et al., 2019","Angew. Chem. Int. Ed. 58, 8681",10.1002/anie.201814222,"Li(6-x)PS(5-x)Cl(1+x) (x ≤ 0.5)",실험,전도도,"Cl/S 비를 높이면 Li 확산 급증. Li5.5PS4.5Cl1.5에서 냉간가압 σ = 9.4 mS/cm (Li6PS5Cl의 약 4배).",우리 Cl-rich 조성(Li5.4PS4.4Cl1.6) 계열의 원조; 공공(vacancy)→전도도 기전
4,Impact of the Chlorination of Lithium Argyrodites on the Electrolyte/Cathode Interface in Solid-State Batteries,"Zuo et al., 2023","Angew. Chem. Int. Ed. 62, e202213228",10.1002/anie.202213228,"Li6PS5Cl, Li5.5PS4.5Cl1.5",실험,전도도·계면,"Cl 증가가 전도도는 높이나 양극 계면에서 전기화학 분해를 촉진. σ 2.9 → 7.0 mS/cm (해당 측정 조건).",전도도 향상의 이면(산화 안정성 저하) — 우리 산화 안정성 축과 연결
5,Comprehensive Analysis of Halogen-Rich Argyrodite Sulfides from a Multi-Level Perspective: Li-Ion Conduction and Elastic Modulus,"Kim et al., 2025","ACS Mater. Lett. 7, 724",10.1021/acsmaterialslett.4c02029,"Li(7-z)PS(6-z)Cl(z-x)Br(x) (42종)",실험,기계·전도도,"결정질 시료에서 Cl 증가 시 탄성계수 급증 + σ 9.9 mS/cm까지. E ≤ 18 GPa & σ ≥ 8 mS/cm의 우수영역 식별. (초음파 pulse-echo)","우리 'Cl 증가 → 강성 증가(+25%)' 결과의 실험적 방향 근거 (핵심 인용)"
6,Elastic Properties of Alkali Superionic Conductor Electrolytes from First Principles Calculations,"Deng et al., 2016","J. Electrochem. Soc. 163, A67",10.1149/2.0061602jes,Li6PS5Cl (외 23종),DFT,기계,"DFT 탄성: C11=39.9, C12=23.1, C44=7.8, E=22.1 GPa. thiophosphate 계열이 가장 연함.",우리 clamped-ion 탄성의 비교 기준값
7,First-Principles Investigation of Mechanical Properties and Anisotropy of Argyrodite Li6PS5Cl Crystal Electrolytes,"Torii et al., 2025","J. Phys. Chem. C 129, 17882",10.1021/acs.jpcc.5c05116,Li6PS5Cl,DFT (PBE-D3),기계,"E=27.4, B=34.7, G=10.0 GPa. Pugh B/G=3.46(연성). 거의 등방(A=1.09). shear 0.7%에서 취성 파괴, {111}면 취약. Bader Li +0.87.",우리 relaxed-ion E(22.1→27.7)·Bader와 대조; 그들의 '등방' vs 우리 '비등방(무질서 기인)'
8,Quantum-mechanical exploration of LPSCl polymorphs (pseudo-cubic vs monoclinic),"D'Amore et al., 2022","Phys. Chem. Chem. Phys. 24, 22978",10.1039/D2CP02814D,Li6PS5Cl (다형),DFT (QHA),기계,"단사정(monoclinic)이 의사입방(pseudo-cubic)보다 더 단단(B0 높음). 준조화근사로 B(T) 계산.",구조 다형이 탄성에 미치는 영향 — 비교 맥락
9,Systematic structure sampling for Li+ distribution in Li6PS5Cl,"Pustorino et al., 2025","Chem. Mater. 37, 313",(DOI 확인 필요),Li6PS5Cl,DFT,기계·구조,"Li+ 배열(24g vs 48h)이 탄성계수를 10–30 GPa나 변화시킴.",우리 결과가 'Li 배열에 민감'하다는 점의 근거
10,Mechanical properties of sulfide solid-electrolyte particles (nanoindentation),"Sakuda et al., 2013","Sci. Rep. 3, 2261",10.1038/srep02261,sulfide SE,실험,기계,"나노압입으로 단일 입자 vs 펠릿 기계물성 차이 측정.",탄성계수 측정법(실험)의 참고
11,(제목 확인 필요) Microstructure effects on argyrodite mechanical properties,"Ketter & Zeier, 2025",Nat. Commun. (2025),(DOI 확인 필요),argyrodite,실험,기계,"입계(grain boundary)가 다결정 기계거동을 지배.",단결정 DFT vs 다결정 실험의 간극(한계점)
12,(밴드갭 출처 1) Li6PS5Cl 반도체 거동 DFT/HSE,"(저자 확인 필요), 2026",Batteries (MDPI) 12(2) 60,10.3390/batteries12020060 (확인 필요),Li6PS5Cl,DFT (PBE/HSE06),전자,"밴드갭 PBE 2.45 eV / HSE06 3.30 eV (직접천이형).",우리 밴드갭(1.76 eV)과 비교 — PBE/방법 offset 설명용
13,First-principles study of structural/mechanical/optical properties of Li6PS5X (X=Cl/I),"(저자 확인 필요), 2023","Physica B (확인 필요)",10.1016/j.physb.2023.(확인 필요),"Li6PS5Cl, Li6PS5I",DFT (mBJ),전자·기계,"mBJ 밴드갭 3.11 eV. VBM은 Cl-p/S-p로 구성.",밴드갭·전자구조 character 비교
14,Electronic structure and electrochemical stability of argyrodites,"Ohno et al., 2021","Adv. Energy Mater. 11, 2100370",(DOI 확인 필요),argyrodite,DFT+실험,전자·산화,"밴드갭과 전기화학 안정성 창(ESW)의 관계, SEI 형성.",전자구조-안정성 연결 맥락
15,Electronic structure and phase stability of Li10GeP2S12 (PDOS),"Ong et al., 2013","Energy Environ. Sci. 6, 148",10.1039/C2EE23355J,Li10GeP2S12,DFT,전자,"PDOS로 이온/전자 전도 기여 분리.",DOS/PDOS 해석 방법의 선례
