AM_wt%,poros_beta0.64,poros_beta0.74,poros_beta0.80,poros_beta0.84,poros_beta0.86,poros_beta0.88
0,42.400,33.400,28.000,24.400,22.600,20.800
5,41.988,33.022,27.656,24.084,22.299,20.516
10,41.543,32.617,27.288,23.746,21.978,20.212
15,41.064,32.181,26.892,23.383,21.633,19.887
20,40.544,31.710,26.466,22.992,21.263,19.538
25,39.979,31.200,26.005,22.571,20.863,19.161
30,39.364,30.647,25.506,22.116,20.432,18.755
35,38.691,30.044,24.964,21.622,19.964,18.314
40,37.951,29.385,24.374,21.085,19.455,17.836
45,37.135,28.662,23.727,20.498,18.900,17.315
50,36.232,27.865,23.017,19.854,18.293,16.745
55,35.227,26.984,22.235,19.147,17.626,16.119
60,34.106,26.007,21.370,18.367,16.890,15.430
65,32.854,24.921,20.411,17.503,16.077,14.670
70,31.459,23.714,19.348,16.547,15.178,13.829
75,29.936,22.386,18.177,15.494,14.187,12.902
80,28.403,20.986,16.922,14.356,13.113,11.896
85,27.437,19.775,15.731,13.231,12.034,10.870
90,28.417,19.869,15.352,12.639,11.372,10.163
95,31.210,22.446,17.488,14.335,12.814,11.336
100,34.734,26.321,21.493,18.362,16.822,15.298
