category,luding_symbol,name,liggghts_input_fix,liggghts_keyword,our_value_AM_AM,our_value_AM_SE,our_value_SE_SE,units_or_form,equation_ref,meaning_and_mapping
parameter,k1,initial loading stiffness,m1,youngsModulus(peratomtype),1.4e8(140GPa),mixed,0.135e7(1.35GPa softened),GPa->LIGGGHTS k via E*a,eq6,Initial virgin-compression branch slope; LIGGGHTS derives k1 from youngsModulus and radius. SE youngsModulus 18x softened (24->1.35 GPa) to compensate the missing hardness cap. (physical correspondence not exact internal-formula equality)
parameter,k2_hat,maximal/limit elastic stiffness,m6,coefficientMaxElasticStiffness,1.5,3.0,5.0,dimensionless ratio (peratomtypepair),eq6+eq8,"Un/reloading branch upper cap (k1<=k2<=k2_hat). Creates plastic residual overlap delta0. DIRECT 1:1 mapping. SE-SE cap 5.0 > AM-AM 1.5 = SE contacts stiffer-capped."
parameter,k_c,adhesion/cohesion stiffness,m7,coefficientAdhesionStiffness,1.0e5,2.0e5,1.0e6,dimensionless ratio (peratomtypepair),eq6,"Adhesive branch slope -k_c*delta; lets contact bear TENSION (paper title). DIRECT 1:1 mapping. SE-SE 1e6 = 10x AM-AM 1e5 = SE cold-weld/vdW. MPM analog = --coh knob (backlog A3)."
parameter,phi_f,dimensionless plasticity depth,m8,coefficientPlasticityDepth,0.05,0.01,0.005,dimensionless (fraction of reduced radius),eq6+eq7,"Sets plastic-flow limit overlap delta*_max. DIRECT 1:1 mapping. SE-SE 0.005 < AM-AM 0.05 = SE yields EARLIEST. Larger phi_f = yields later."
parameter,gamma_0,viscous (normal) damping,m3,coefficientRestitution,0.3,0.3,0.3,dimensionless r,eq3+eq5,"Viscous force gamma_0*v_n; r=exp(-eta0*t_c), eta0=gamma_0/(2*m12). Our r=0.3 < Luding recommended 0.4-0.8 (strong dissipation, ok for quasi-static compaction)."
parameter,mu_s=mu_d,Coulomb friction,m4,coefficientFriction,0.5,0.5,0.5,dimensionless,eq18-21,"Tangential Cundall-Strack spring; adhesive limit mu_s*(f_n + k_c*delta). Our mu=0.5 all pairs. Fig4: friction has weak effect on tensile strength (k_c dominates)."
parameter,mu_r,rolling friction,m5,coefficientRollingFriction,0.2,mixed,0.1,dimensionless,eq15,"Rolling resistance (mimics surface roughness/non-sphericity). Objective rolling velocity uses reduced radius."
parameter,v_char,characteristic velocity,m9,characteristicVelocity,2.0,2.0,2.0,scalar,n/a,"LIGGGHTS-internal stiffness-interpolation reference velocity."
model,hooke/hysteresis,contact LAW selection,pair_style,gran model hooke/hysteresis,-,-,-,-,eq6,"pair_style gran model hooke/hysteresis tangential history rolling_friction cdt = direct implementation of Luding eq6 (adhesive elasto-plastic hysteretic)."
equation,eq2,overlap definition,-,-,-,-,-,"delta = (a_i+a_j) - (r_i-r_j).n ; contact only if delta>0",eq2,Normal overlap; n points j->i. Force f^c = f_n*n + f_t*t.
equation,eq3,LSD non-adhesive normal force,-,-,-,-,-,"f_n = k*delta + gamma_0*v_n",eq3,Linear spring-dashpot baseline (non-cohesive).
equation,eq5,restitution,-,-,-,-,-,"r = v'_n/v_n = exp(-eta0*pi/omega) = exp(-eta0*t_c)",eq5,"omega=sqrt(k/m12 - eta0^2); recommended r 0.4-0.8."
equation,eq6,adhesive elasto-plastic hysteretic force,-,-,-,-,-,"f^hys = {k1*delta if k2(delta-delta0)>=k1*delta ; k2(delta-delta0) if k1*delta>k2(delta-delta0)>-k_c*delta ; -k_c*delta if -k_c*delta>=k2(delta-delta0)} ; f_n=f^hys+gamma_0*v_n",eq6,"THE CORE = our contact LAW. Three branches: loading(k1)/unloading(k2)/adhesion(-k_c). k1<=k2<=k2_hat. Linear special case k1/k2_hat=1 (k_c,phi_f meaningless)."
equation,delta0,plastic residual overlap,-,-,-,-,-,"delta0 = (1 - k1/k2)*delta_max",eq6,"= permanent plastic contact deformation = our epsilon_sphere 'displaced material' convention. delta_max = history variable (max overlap)."
equation,f_min,max attractive (adhesion) force,-,-,-,-,-,"f_min = -(k2-k1)*delta_max/(k2+k_c) at delta_min=(k2-k1)*delta_max/(k2+k_c)",eq6,"Most negative force on adhesive branch; k_c->inf limit f_min>=-(k2-k1)*delta_max."
equation,eq7,plastic-flow limit overlap,-,-,-,-,-,"delta*_max = (k2_hat/(k2_hat-k1))*phi_f*(2*a1*a2/(a1+a2))",eq7,"Overlap above which constant k2_hat used; reduced radius 2a1a2/(a1+a2). Wall (a_wall=inf) -> smaller-particle diameter."
equation,eq8,k2 interpolation,-,-,-,-,-,"k2(delta_max) = k2_hat if delta_max>=delta*_max ; else k1+(k2_hat-k1)*delta_max/delta*_max",eq8,"Weak contact=small plastic, strong contact=large plastic (linear approx of nonlinear hysteresis)."
result,nu_packed,volume fraction after sintering,-,-,-,-,-,"0.6754 (k_c/k2_hat=0.5) / 0.630 (k_c=0)",sec3.1,"Coordination C=7.16 (sinter) -> 6.19/6.23 (relax). DIMENSIONLESS example, NOT transferable to LPSCl absolute porosity."
result,strength_ratio,compressive vs tensile strength,-,-,-,-,-,"compressive ~ 6-7x tensile (k_c/k=1/2)",sec3.2(Fig2),"k_c up -> tensile strength up + larger failure strain. Tension fails in bulk (weak k_c) or at wall (k_c/k=20)."
metadata,open_access,license,-,-,-,-,-,"Creative Commons Attribution-Noncommercial 2008 (c) The Author(s)",-,"OPEN ACCESS - freely citable. Replaces paywalled Walton-Braun 1986 (10.1122/1.549893) which Luding generalizes (refs 94,96)."
