# Bucci, Swamy, Chiang, Carter, J. Mater. Chem. A 2017, 5, 19422-19430 (DOI 10.1039/c7ta03199h)
# MIT (Yet-Ming Chiang + W. Craig Carter). FIRST quantitative mechanical-reliability analysis of ASSBs.
# Coupled electro-chemo-mechanical FEM (deal.II) + cohesive-zone model (CZM) for SE fracture during CYCLING (Li-intercalation).
# Model = composite NEGATIVE electrode (AM intercalation particles in SE+carbon mixed conductor). 2D plane strain, 11x11 um, 36 square Voronoi particles, <d>=1 um, AM ~50%.
# Loading = galvanostatic Li flux (i=1 mA/cm2), NOT mechanical compaction pressure. AM expands (Vegard), SE (beta_SE=0) is stressed by constraint -> SE micro-cracks.
# source: stated=text/Table1/Table2 (verbatim, exact). digitized=read from figure (TREND only, approximate).
# *** NOT our LPSCl-specific; SE material UNSPECIFIED (E_SE=15 GPa = compliant-sulfide representative). Table1 = literature SURVEY range. DO NOT transfer absolute sigma/porosity. ***
# *** LAYER WARNING: E_SE=15 GPa here = REAL material modulus (cycling-fracture input). NOT our E_eff=1.35 GPa (compaction-bed effective proxy). Our REAL ~24 GPa is the comparable value. ***
quantity,value,unit,system_or_material,condition,source,figure_table,notes
# === KEY THRESHOLDS (the paper's heart) ===
fracture_prevent_expansion_threshold,7.5,percent_volumetric,AM_intercalation_particle,fracture suppressed below this,stated,abstract_text_conclusions,typical Li-intercalation compounds < 7.5%; AND needs G_c>=4
fracture_prevent_Gc_threshold,4.0,J_m-2,SE_bulk,fracture suppressed above this,stated,abstract_text_conclusions,both conditions simultaneous (expansion<7.5% AND G_c>=4)
fracture_onset_expansion,3.0,percent_volumetric,AM_intercalation_particle,baseline crack initiation,stated,Results_sec3,baseline sim cracks initiate at dV=3% (many intercalation compounds)
Gc_baseline,1.0,J_m-2,SE_sulfide_representative,baseline FEM,stated,Table2_Results,representative sulfide SE; sweep 0.25-4.0
Gc_sweep_min,0.25,J_m-2,SE,parameter sweep,stated,Fig3_Fig5,lower G_c -> faster crack propagation
Gc_sweep_max,4.0,J_m-2,SE,parameter sweep,stated,Fig3,G_c>=4 can suppress even 30% expansion
Gc_sulfide_McGrogan,2.8,J_m-2,Li2S-P2S5_glassy,K_IC=0.23 MPa.m^0.5 / E=18.5 GPa converted,stated,text_ref16,G_c=K_IC^2/E; uncertainty +-1.8; only exp toughness data for sulfide SE
Gc_sulfide_McGrogan_uncertainty,1.8,J_m-2,Li2S-P2S5_glassy,+- on 2.8,stated,text_ref16,
# === DIMENSIONLESS DESIGN RULE ===
design_rule_G_script,1000,dimensionless,SE_elastic_brittle,integrity preserved when below,stated,Fig5_Conclusions,G_script = 0.5*k_SE*(3*beta_AM*A_AM)^2/(H*G_c); k_SE=bulk modulus H=thickness A_AM=AM area
# === TABLE 1: SE Young's modulus + fracture toughness SURVEY (literature anchors) ===
E_SE_LiPON,77,GPa,Li3PO4Nx_amorphous_sputtered,nanoindentation,stated,Table1_ref12,sigma_ion 2e-6 S/cm
E_SE_perovskite_solidstate,186,GPa,Li0.33La0.57TiO3_solid-state,nanoindentation +-4,stated,Table1_ref13,K_IC 0.890-1.34 MPa.m^0.5; bulk sigma ~1e-3
E_SE_perovskite_solgel,200,GPa,Li0.33La0.57TiO3_sol-gel,nanoindentation +-3,stated,Table1_ref13,K_IC 0.890-1.31 MPa.m^0.5; total sigma ~1e-5
E_SE_garnet_LLZO_hotpressed,150,GPa,Li6.24La3Zr2Al0.24O11.98_LLZO,resonant ultrasound porosity 0.03,stated,Table1_ref14,132.5 GPa at porosity 0.06; sigma ~0.2e-3
E_SE_garnet_cubic_LLZO,150,GPa,cubic_Li7La3Zr2O12,resonant ultrasound rel.density ~99%,stated,Table1_ref14,sigma 3e-4
E_SE_sulfide_hotpressed_min,18,GPa,Li2S-P2S5_hot-pressed,ultrasound velocity + compression sinter 360MPa 20-190C,stated,Table1_ref15,COMPLIANT; matches Sakuda 18-25 / our real-bulk 24
E_SE_sulfide_hotpressed_max,25,GPa,Li2S-P2S5_hot-pressed,ultrasound velocity + compression,stated,Table1_ref15,COMPLIANT; sigma 3e-4 (dense)
E_SE_sulfide_coldpressed_min,14,GPa,Li2S-P2S5_cold-pressed,sinter 180-360MPa RT,stated,Table1_ref15,LOWEST; baseline E_SE=15 sits here = compliant label
E_SE_sulfide_coldpressed_max,17,GPa,Li2S-P2S5_cold-pressed,sinter 180-360MPa RT,stated,Table1_ref15,
E_SE_argyrodite_Li6PS5,18.5,GPa,Li6PS5_argyrodite,nanoindentation +-0.9,stated,Table1_ref16,K_IC 0.23+-0.04 MPa.m^0.5; CLOSEST to our LPSCl Li6PS5Cl
K_IC_argyrodite_Li6PS5,0.23,MPa_m0.5,Li6PS5_argyrodite,nanoindentation +-0.04,stated,Table1_ref16,McGrogan; -> G_c~2.8 J/m2
