AM_wt%,poros_beta0.64,poros_beta0.74,poros_beta0.80,poros_beta0.84,poros_beta0.86,poros_beta0.88
0,42.400,33.400,28.000,24.400,22.600,20.800
5,41.968,33.006,27.642,24.072,22.288,20.506
10,41.502,32.582,27.258,23.720,21.955,20.191
15,40.998,32.126,26.845,23.343,21.597,19.854
20,40.453,31.633,26.401,22.937,21.212,19.492
25,39.859,31.099,25.920,22.499,20.797,19.102
30,39.211,30.519,25.399,22.024,20.349,18.680
35,38.501,29.887,24.833,21.510,19.862,18.223
40,37.721,29.195,24.215,20.949,19.333,17.727
45,36.859,28.434,23.538,20.337,18.755,17.185
50,35.902,27.595,22.794,19.665,18.122,16.593
55,34.836,26.667,21.973,18.925,17.426,15.941
60,33.643,25.634,21.063,18.108,16.657,15.224
65,32.305,24.483,20.053,17.202,15.806,14.430
70,30.807,23.198,18.928,16.196,14.862,13.549
75,29.154,21.774,17.681,15.080,13.815,12.574
80,27.444,20.242,16.324,13.859,12.668,11.503
85,26.199,18.810,14.964,12.599,11.470,10.373
90,27.048,18.497,14.203,11.688,10.526,9.420
95,30.409,21.099,16.029,12.910,11.440,10.038
100,34.855,25.631,20.455,17.181,15.598,14.052
