case,regime,gap,am_wt,se_of_solid,thickness_um,n_layers,sigma_ionic_mScm,SE_starved,near_monolayer,physically_marginal
1mAh_100_15,CORNER,12.6,87.0,25.0,19.1,1.6,0.0009,1,1,1
1mAh_100_12,CORNER,6.7,87.0,26.0,15.7,1.31,0.0248,1,1,1
1mAh_100_14,CORNER,6.8,87.0,26.0,15.7,1.31,0.0282,1,1,1
1mAh_100_13,CORNER,5.6,87.0,26.0,15.4,1.28,0.0331,1,1,1
1mAh_9_S4,CORNER,4.3,85.0,29.0,17.6,1.76,0.0335,1,1,1
1mAh_9_S2,CORNER,5.2,85.0,29.0,18.5,1.85,0.0343,1,1,1
1mAh_9_S3,CORNER,4.9,85.0,29.0,17.9,1.79,0.0348,1,1,1
1mAh_100_10,CORNER,6.52,82.0,32.0,20.2,1.68,0.0364,1,1,1
particulate_12_S4,both,-3.0,82.0,32.0,97.6,16.27,0.0298,1,0,0
particulate_12_S5,both,-3.3,82.0,32.0,96.3,16.04,0.0356,1,0,0
particulate_12_S1,both,-3.0,82.0,32.0,97.3,16.21,0.0385,1,0,0
8mAh_real_1,both,-0.8,82.0,32.0,156.2,,0.0692,0,0,0
1mAh_100_6,both,2.5,82.0,32.0,17.7,4.43,0.0711,0,0,0
6mAh_real40_2,both,-1.4,82.0,32.0,113.5,,0.0873,0,0,0
1mAh_6_S4,both,2.5,80.0,36.0,19.6,1.96,0.0926,0,1,0
1mAh_100_7,both,1.7,82.0,32.0,16.7,1.39,0.1019,0,1,0
1mAh_100_9,both,3.2,82.0,32.0,16.6,1.38,0.1047,0,1,0
1mAh_6_S5,both,0.7,80.0,36.0,18.8,1.88,0.1082,0,1,0
1mAh_100_8,both,2.0,82.0,32.0,16.5,,0.1109,0,0,0
6mAh_real40_4,both,-1.3,82.0,32.0,111.8,,0.113,0,0,0
1mAh_6_S3,both,1.1,80.0,36.0,18.9,1.89,0.1195,0,1,0
1mAh_100_1,both,-0.8,77.0,39.0,19.0,,0.1717,0,0,0
1mAh_100_2,both,-0.6,77.0,39.0,18.5,,0.2072,0,0,0
1mAh_100_3,both,-0.2,77.0,39.0,18.2,1.52,0.2312,0,1,0
