category,symbol,name,value,units,eq_or_table_ref,stated_or_digitized,meaning_and_mapping
result,F0,DMT pull-off force (point contact),2*pi*R*gamma,N,eq41/eq51,stated,"THE DMT RESULT. F0 = 2*pi*R*phi(eps) = 2*pi*R*gamma_work-of-adhesion. Tearing-off (pull-off) force at the moment point contact is established (alpha=0). Linear in R (1st power of ball radius), proportional to surface energy. = our SE-SE cohesion magnitude anchor (LIGGGHTS k_c / MPM --coh)."
result,Fs_prime,limiting contact-zone force (large flattening),pi*R*gamma,N,eq48/Fig3,stated,"As deformation alpha grows, the generalized force Fs tends to F0/2 = pi*R*phi(eps) = pi*R*gamma. The CONTACT-area component (within contact) saturates at half the point-contact value. NOT the pull-off; the pull-off stays at F0=2piRgamma (peak at alpha=0)."
ratio,F_DMT_over_F_JKR,DMT vs JKR pull-off ratio,2/1.5 = 1.333,dimensionless,vs JKR eq50,derived,"DMT F=2piRgamma vs JKR (Thornton-Ning eq50) Pc=1.5*pi*Gamma*R*. DMT pull-off is 4/3x the JKR value (different gamma conventions: DMT gamma=work of adhesion per unit area; JKR Gamma=Dupre energy). DMT=stiff/small-particle limit; JKR=soft/large-particle limit."
equation,P_s(rho),Hertz normal pressure distribution,3F/(2*pi*a^2)*(1-rho^2/a^2)^0.5,Pa,eq1,stated,"Assumed Hertzian pressure over contact circle radius a. DMT keeps the Hertz elastic profile UNCHANGED and ADDS vdW attraction OUTSIDE the contact ring (vs JKR which alters the profile inside contact)."
equation,a^2,contact-radius / approach relation,a^2 = alpha*R,m^2,eq27,stated,"Contact radius squared = approach (mutual displacement of centers) times reduced radius. Geometric Hertz relation; used to convert alpha<->a."
equation,S,contact area under molecular force,S = pi*alpha*R,m^2,eq60,stated,"Contact AREA created by molecular (vdW) forces, S=pi*a^2=pi*alpha*R. Finite contact area exists even with no external load, due to adhesion."
equation,Fe,Hertz elastic repulsive force,Fe = 4*R^0.5*E/(3*(1-sigma^2))*alpha^1.5,N,eq49,stated,"Hertz elastic (repulsive) force ~ alpha^1.5 = k*alpha^1.5. Standard Hertz; E=Young modulus, sigma=Poisson ratio. Balances molecular attraction at equilibrium."
equation,phi(H),vdW interaction energy per unit area,phi(H) = A/(12*pi*H^2),J/m^2,eq50,stated,"Hamaker-form surface interaction energy vs gap H. A=Hamaker constant. Gives F0=2piR*phi(eps)=A*R/(6*eps^2) (eq51) with eps=least gap (3-4 Angstrom)."
equation,F0_Hamaker,DMT pull-off in Hamaker form,F0 = A*R/(6*eps^2),N,eq51,stated,"DMT pull-off written via Hamaker constant A and minimum separation eps. eps~3-4 Angstrom = atomic-scale cutoff gap. Equivalent to 2piR*gamma with gamma=A/(12*pi*eps^2)."
param,eps,least surface separation,3e-8 to 4e-8,cm (3-4 Angstrom),text p318/Table2,stated,"Minimum gap between ball and plane surfaces at the contact (atomic spacing). Used eps=3e-8 cm for the polystyrene-on-steel worked example."
param,A_hamaker,Hamaker constant (worked example),1e-12,erg,Table2,stated,"Hamaker constant assumed for polystyrene/steel contact area calculation (Table II). 1e-12 erg = 1e-19 J."
param,E_polystyrene,Young modulus (worked example),3e10,dyne/cm^2,Table2,stated,"E=3e10 dyne/cm^2 = 3 GPa assumed for polystyrene example. Poisson sigma=0.33."
data,Table1_F_over_F0,total force / F0 vs alpha/eps,see_rows,dimensionless,Table I,stated,"F_s/F0 vs alpha/eps. At alpha/eps=1e-5: 0.9967; 0.1:0.690; 1.0:0.738(eq59); 10:0.551; 100:0.511; 1e4:0.5005. -> Fs decreases from F0 (point contact) toward F0/2 as flattening (alpha/eps) grows. Confirms peak at point contact."
data,Table2_R0.03um,polystyrene-on-steel alpha/eps and S,2.1 ; 7e-13,um ; cm^2,Table II,stated,"R=0.03um: alpha/eps=2.1, S=7e-13 cm^2. SMALL particle still has alpha/eps>1 (deformation matters even at 30 nm)."
data,Table2_R0.3um,polystyrene-on-steel,4.5 ; 1.5e-11,um ; cm^2,Table II,stated,"R=0.3um: alpha/eps=4.5, S=1.5e-11 cm^2."
data,Table2_R3.0um,polystyrene-on-steel,10.0 ; 3.2e-10,um ; cm^2,Table II,stated,"R=3.0um: alpha/eps=10.0, S=3.2e-10 cm^2."
data,Table2_R30um,polystyrene-on-steel,21.0 ; 7.0e-9,um ; cm^2,Table II,stated,"R=30um: alpha/eps=21.0, S=7.0e-9 cm^2. Larger R -> larger alpha/eps -> contact area S grows ~ with R."
context,F_max_approx,approx max molecular (=peak) force,F_m = F0/2 = A*R/(12*eps^2),N,eq59_limit,stated,"For alpha/eps>1 (all real cases in Table 2), an approximate equilibrium relation F_m=F0/2=AR/(12eps^2). Practical engineering estimate when deformation is significant."
ourmap,k_c_SE_SE,LIGGGHTS adhesionStiffness (SE-SE),1.0e6,dimensionless ratio (m7 peratomtypepair),our_dem_baseline,ours,"Our SE-SE coefficientAdhesionStiffness = 1e6 = 10x AM-AM (1e5). DMT F0=2piRgamma gives the PHYSICAL magnitude this k_c should encode (SE cold-weld + vdW). DMT is OUR regime (SE 0.5um, stiff) -> use DMT not JKR for the SE-SE cohesion calibration target."
ourmap,MPM_coh,MPM --coh adhesion knob,backlog_A3,attractive sigma in compression,digest_model_application_backlog,ours,"MPM continuum SE adhesion knob (backlog A3). DMT/JKR pair-contact pull-off sets the physical target magnitude. Confirmed in our scaffold runs: --coh changes wallP but NOT porosity (porosity pinned by jamming geometry)."
ourmap,r_SE,our SE particle radius,0.25,um (D1 sphere ~0.5um diameter),our_dem_baseline,ours,"Our SE D1 ~0.5um diameter -> R~0.25um. In DMT Table 2 terms this is between R=0.03 and 0.3um rows -> alpha/eps ~ 2-4 -> deformation matters AND we are firmly in the DMT (stiff,small) regime, NOT JKR (soft,large)."
