parameter,notation,value,units,source,note
density,rho,2200,kg/m^3,stated_Table3,"sand density (most 3D scenes); splash=1582"
youngs_modulus,E,3.537e5,Pa,stated_Table3,"0.3537 MPa used in scenes; NOT the real sand E (see real_youngs)"
real_youngs_modulus,E_real,3.537e7,Pa,stated_sec10,"real Young modulus of sand 3.537e7 Pa = 35.37 MPa; authors deliberately soften 100x for solver efficiency"
poisson_ratio,nu,0.3,dimensionless,stated_Table3,"sand Poisson; compressible (cf snow nu=0.2, our LPSCl MPM nu=0.49)"
friction_angle,phi_F,30,degrees,stated_Table3,"internal friction angle; pile-from-spout=30, splash=22; sweep 20/25/30/35/40 (Fig13)"
friction_angle_sweep,phi_F_sweep,20-40,degrees,stated_Table3,"Fig13 friction-angle column collapse: larger angle -> taller/steeper pile"
hardening_h0,h0,35,degrees,stated_Table3,"hardening curve initial friction-angle parameter (phi_F = h0 + (h1*q - h3)*exp(-h2*q))"
hardening_h1,h1,9,degrees,stated_Table3,"hardening slope (0 for friction-angle/spout/splash scenes = no hardening)"
hardening_h2,h2,0.2-0.3,dimensionless,stated_Table3,"hardening decay rate"
hardening_h3,h3,10,degrees,stated_Table3,"hardening offset; feasible: h0>h3>=0, h1,h2>=0"
alpha_friction_coeff,alpha,formula,dimensionless,stated_eq31,"alpha = sqrt(2/3)*(2 sinphi_F)/(3 - sinphi_F); DP cone half-angle from friction angle"
cfl_number,CFL,1,dimensionless,stated_Table2,"particle moves at most dx per step"
dt_explicit_range,dt,1e-4_to_5e-5,s,stated_Table2,"explicit dt; implicit up to 1.5e-3 (castle/spout)"
particles_per_cell,n_ppc,2-9,count,stated_Table2,"8-9 typical; APIC stable at high ppc (FLIP not)"
grid_dx_range,dx,0.00083-0.016,m,stated_Table2,"grid spacing across scenes"
transfer_scheme,APIC,affine,-,stated_sec1,"APIC (Jiang 2015) replaces Mast et al. FLIP -> more stable at high ppc, no ringing"
cohesion,c,0,Pa,stated_sec7,"cohesionLESS: cone tip at origin (zero stress); dry sand. cohesion=future work (wet sand)"
case_I_label,return_none,inside_cone,-,stated_sec7.1,"delta_gamma<=0: stress already in yield surface; FE unchanged; static friction; det(FE) unchanged"
case_II_label,return_tip,cone_tip,-,stated_sec7.1,"||hat_s||_F=0 OR tr(sp)>0 (tension/expansion): project to cone tip; return U V^T; zero stress; particles separate freely"
case_III_label,return_surface,cone_side,-,stated_sec7.1,"else: project to cone surface along trace-preserving (volume-preserving) direction; return U e^Hp V^T"
plastic_flow_type,non_associative,volume_preserving,-,stated_sec7.2,"NON-associative DP flow: associative would over-gain volume; tr(Hp)=tr(sp) keeps det(FE) so plastic flow is isochoric in Case III"
lineage_snow,Stomakhin2013,cap_hardening,-,papers/stomakhin2013_mpm_snow_elastoplastic.md,"PREDECESSOR: snow = compressible cap-like volumetric hardening (singular-value box [1-theta_c,1+theta_s])"
lineage_sand,Klar2016,DP_cone_cohesionless,-,THIS,"sand = cohesionless friction cone in Hencky/log-singular-value space; non-associative volume-preserving"
lineage_ours_LPSCl,our_MPM,J2_cylinder_isochoric,-,papers (our_dem_baseline.md),"our LPSCl SE = von Mises J2 cylinder; E_eff=1.53 sigma_y=0.15(2D)/0.30(3D) nu=0.49; isochoric, cohesive solid"
our_DPC_deadend,mpm_dpc_crosscheck,FAILED_resolved_grain,-,docs/mpm_dpc_cap_crosscheck.md,"we tried DP+cap on resolved-grain LPSCl: cap=particle volume shrinkage, unphysical (bulk 24GPa>>300MPa) -> over-compacts (300->0.8% vs champion 11%)"
our_DPC_REV_correct,cap_compaction_heckel,CORRECT_homogenized,-,scripts/cap_compaction_heckel.py,"DP+cap IS correct in homogenized REV (point=powder-with-voids): clean Heckel 100/300/600 -> 13.9/10.0/8.3%"
