# Thornton & Ning (1998) Powder Technology 99(2) 154-162, DOI 10.1016/S0032-5910(98)00099-0
# "A theoretical model for the stick/bounce behaviour of adhesive, elastic-plastic spheres" (Aston Univ.)
# The 4-phase NORMAL adhesive elasto-plastic contact LAW + JKR adhesion + restitution.
# This is the ANALYTICAL contact LAW (per-contact constitutive), the base model Varkey 2026 uses,
# and the "path A" yield-cap LAW that Luding 2008 (our hooke/hysteresis) LACKS.
# All values are STATED equations / parameters in the paper (no digitized-from-figure numbers unless flagged).
# E* = reduced modulus 1/E*=(1-v1^2)/E1+(1-v2^2)/E2 (eq5); R* reduced radius 1/R*=1/R1+1/R2 (eq6);
# m* reduced mass 1/m*=1/m1+1/m2 (eq8); alpha = relative approach (overlap); a = contact radius; Gamma = surface/interface energy.
category,phase_or_quantity,symbol,equation_or_value,paper_eq,notes
# ===== PHASE 1 : ELASTIC HERTZ LOADING (alpha < alpha_y) =====
phase1_elastic,Hertz pressure dist,p(r),p(r)=(3P)/(2*pi*a^2)*[1-(r/a)^2]^(1/2),eq1,semi-ellipsoidal Hertz traction
phase1_elastic,normal force,P,P=(4/3)*E*·R*^(1/2)·alpha^(3/2),eq2,Hertz F ~ delta^1.5
phase1_elastic,contact radius,a,a=(3*P*R*/(4*E*))^(1/3); a^2=R*·alpha,eq3+eq4,
# ===== PHASE 2 : YIELD ONSET (alpha = alpha_y, a = a_y) =====
phase2_yield,limiting contact pressure,p_y,p_y = 2*E*·a_y/(pi*R*),eq9,DEFINITION: mean(peak) pressure cap = "limiting contact pressure"; p_y~1.6-3*sigma_y (Tabor)
phase2_yield,yield force (from py),P_y,p_y = 3*P_y/(2*pi*a_y^2),eq14,P_y = yield normal force at onset
phase2_yield,contact radius at yield,a_y,a_y^3 = 3*R*·P_y/(4*E*),eq16,
phase2_yield,yield velocity (sphere-sphere),V_y,V_y=(pi/(2E*))^2·(8*pi*R*^3/(15*m*))^(1/2)·p_y^(5/2)=3.194·(p_y^5·R*^3/(E*^4·m*))^(1/2),eq10,relative impact velocity below which interaction is elastic
phase2_yield,yield velocity (sphere-plane),V_y_plane,V_y=(pi/(2E*))^2·(2/(5*rho))^(1/2)·p_y^(5/2)=1.56·(p_y^5/(E*^4·rho))^(1/2),eq11,Davies 1949 result
phase2_yield,energy balance at yield,KE_y,(1/2)*m*·V_y^2 = integral_0^alpha_y P dalpha = 8*E*·a_y^5/(15*R*^2),eq7,
# ===== PHASE 3 : PLASTIC LOADING BRANCH (alpha > alpha_y) — LINEAR, pressure capped at p_y =====
phase3_plastic,plastic force-overlap (LINEAR),P,P = P_y + pi·p_y·R*·(alpha - alpha_y),eq19,★ LINEAR plastic branch (contact pressure capped at p_y); tangent to Hertz at yield
phase3_plastic,plastic force (area form),P,P = pi·a_p^2·p_y + P_e·[1-(a_p/a)^2]^(3/2),eq13,a_p = radius of uniform-p_y plateau; P_e = equiv elastic force (eq21)
phase3_plastic,plastic contact stiffness,k_N,k_N = pi·R*·p_y = 2*E*·a_y,eq22,CONSTANT slope of plastic branch (vs Hertz tangent-decreasing)
phase3_plastic,plateau/cap relation,a_p,a^2 = a_p^2 + a_y^2,eq17,Hertz cut off at p_y over inner plateau a_p
phase3_plastic,virtual intercept,P_0,P_0 = P_y - 2*E*·a_y·alpha_y = -P_y/2,eq24+eq25,linear plastic line extended hits P-axis at P_0=-P_y/2 (<0)
# ===== PHASE 4 : ELASTIC UNLOADING (Hertzian, LARGER radius R_p* = residual plastic deformation) =====
phase4_unload,plastic unloading radius,R_p*,R_p*·P* = R*·P_e*; R_p* = (4*E*/(3*P*))·((2*P*+P_y)/(2*pi*p_y))^(3/2),eq20+eq28,1/R_p* < 1/R* permanent flattening; bigger eff radius on unload
phase4_unload,equivalent elastic force,P_e*,P_e* = (4/3)*E*·R*^(1/2)·alpha^(*3/2),eq21,
phase4_unload,unloading force law (Hertz),P,P = (4/3)*E*·R_p*^(1/2)·(alpha - alpha_p)^(3/2),eq29,elastic rebound along Hertz with R_p*; alpha_p = residual overlap
phase4_unload,max overlap relation,alpha*,alpha* = (2*P*+P_y)/(2*pi*R*·p_y); alpha*^2 not used,eq26,P* = actual max normal force
# ===== COEFFICIENT OF RESTITUTION (non-adhesive elastic-plastic) =====
