# S3 코호트 봉인 — raw 가용성 전수 목록 (계약 §5-v3 ③ · 쌍 step 규칙 §5-v4 D-2: 0 ≤ step_atom − step_contact ≤ 0).  생성 2026-09-19 · 도구 커밋 da54ee3a0
# root = /home/yonghoon71/lhs_local
# ⛔ 솔버를 부르지 않았다 — 포함/제외는 파일 실재로만.  이 목록 전부를 S3 가 돌리고 실패는 REFUSED 로 보존한다.
# 설계족 분포: UNKNOWN 1 · bimodal 100 · mono_AM_P 15 · mono_AM_S 15
# ⚠ 설계족이 mono 뿐이면 AREA-11(AM_P–AM_S · AM_P 반경 이종쌍) 효과는 이 코호트로 검증할 수 없다.
#
# ══ 경위 (자동 생성분이 아니라 손으로 남기는 기록) ══════════════════════════════
# ★ 2026-09-19 **재봉인** — `atom_file`·`atom_sha256` **63 행** 변경.  `status` ·
#   `deck_sha256` · `design_family` · `contact_*` 는 **0 행** (판정은 한 글자도 안 바뀌었다).
#     62 = 짝이 어긋나 있던 쌍.  옛 봉인은 `plastic_coverage._find_case_files` 가
#          atom·contact 를 **각각 독립으로** 최신 선택해(=`DESC-06`) 서로 다른 프레임을
#          가리켰고, 수확기(`lhs_descriptor_harvest.py:404`)가 `ts_a != ts_c` 로 **전부
#          거부**했다 ⇒ `RAW_OK` 129 중 **62 (48 %) 가 원리적으로 수확 불가**였다 (원장 `LHS-07`).
#      1 = `lhs00_098` — 계약 D-8(*"contact 결손이어도 있는 atom 은 적는다"*)의 첫 적용.
#          상태는 `RAW_MISSING_CONTACT` 그대로이고 **기록만** 늘었다.
#   ⚠ 옛 봉인기(`7b5560eb5`)는 12 열이라 `step_atom`/`step_contact`/`step_gap` 이 **없었다** —
#     어긋남을 드러낼 유일한 열이 산출물에 없어서 파일명에서 역산해야 보였다.
#   ⚠ `PAIR_MAX_GAP` 을 5000 → **0** 으로 내렸다 (소비자와 일치).  다시 올리려면 **수확기부터**
#     고칠 것 — 여기만 올리면 옛 상태로 돌아간다.
#
# ★ 실측 규약 (ibb `lhs00_089`, 2026-09-19): contact 덤프는 **1만 단위**, atom 은 **5천 단위**.
#     atom    … 2835000 2840000 2845000 2850000 2855000
#     contact … 2810000 2820000 2830000 2840000 2850000
#   ⇒ atom step 집합이 contact 를 **포함**하므로 *"공통 최신"* = *"contact 최신"* 이다.
#
# ★ 증보 2026-09-18 → **봉인 완성 2026-09-19** — `lhs00_034` · `lhs00_089`.
#   봉인(09-14) 당시 contact 덤프가 없어 `RAW_MISSING_CONTACT` 였고 그 뒤 ibb 에서 완주했다.
#   ibb(`/home/yonghoon/dem_test/lhs`, `ssh -p 43612 yonghoon@166.104.39.171`) → WSL 전송 후
#   **양쪽 sha256 6/6 OK**.  그중 **덱 2 줄은 TSV 에 이미 등록돼 있던 지문**이고 그것까지
#   일치했다 ⇒ *"같은 설계의 같은 런"* 이 전송과 무관하게 독립 확인됐다.
#   ⚠ `pick_mesh` 는 **atom 과 같은 디렉터리**에서 `mesh_*.stl` 을 찾는다 — atom·contact 만
#     옮기면 수확이 `NO_MESH` 로 떨어진다.  mesh 도 같이 옮길 것 (TSV 에 mesh 열은 없다).
#   ⚠ `lhs00_098` 은 아직 도는 중이라 제외한다 (완주하면 RAW_OK 129 → 130).
#
# ⛔ 짝 스텝을 `ls | tail` 로 고르지 말 것 — **사전순**이라 `995000` 이 `3560000` 보다 크게
#   나온다.  실제로 그 때문에 거짓 경보가 두 번 났다 (09-18 · 09-19).
#   `ls … | sed 's/.*_//;s/\..*//' | sort -n | tail -1` 로 볼 것.
# ⚠ 리허설의 *"127/127 rc=0"* 는 **dry-run** 이었다 — `lhs_harvest_batch.py:65` 가 그
#   false-green 을 이미 이름으로 적어 두고 있었다.  **본번과 리허설을 같은 말로 쓰지 말 것.**
case	status	design_family	family_source	n_types	deck	deck_sha256	atom_file	atom_sha256	contact_file	contact_sha256	step_atom	step_contact	step_gap	reason
lhs00_000	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_000/input_lhs00_000.liggghts	f4a29f22973bed061fc4c6cb0fee4809f21b1176be49e4e442a6e96462b14e8f	/home/yonghoon71/lhs_local/lhs00_000/post_lhs00_000/atom_2420000.liggghts	7aa05fa862a8a4ea63db15669a7d4df744e5eb05e786441e807e28403759c32f	/home/yonghoon71/lhs_local/lhs00_000/post_lhs00_000/contact_2420000.liggghts	5e7685bff0b8019bcb91e0c1f9de8dc120b318171e266549bea4e11377e1819a	2420000	2420000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_001	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_001/input_lhs00_001.liggghts	50e083962b55b293e70a8a6e77b00792c2ceb746b3f3b1a28063f3502c7f1615	/home/yonghoon71/lhs_local/lhs00_001/post_lhs00_001/atom_1990000.liggghts	d34accffe1173165ca9481400e760f22883cbe111de7a9464acfabc60256edfd	/home/yonghoon71/lhs_local/lhs00_001/post_lhs00_001/contact_1990000.liggghts	bae9113c07666bb84fb9b421fcd0b347c7ce9b98bee3a9993b63bd7bf9a48d29	1990000	1990000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_002	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_002/input_lhs00_002.liggghts	c607df896bee5debeb46817de30b75d540e1adf1f992345da3452ef31ff11410	/home/yonghoon71/lhs_local/lhs00_002/post_lhs00_002/atom_3900000.liggghts	15bbecc4f3ac6d442e781d32f812aceb93e12b6d2bc9f8e54439cb1e30238b49	/home/yonghoon71/lhs_local/lhs00_002/post_lhs00_002/contact_3900000.liggghts	5c459baf9ad12c218bd210532bcccd4e03bf475dc2fd33d404088817d12eab5d	3900000	3900000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_003	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_003/input_lhs00_003.liggghts	a77232c809f4ab3680002a0fe4bc545e4816db147ecb6150757f5bbcb2d94c2f	/home/yonghoon71/lhs_local/lhs00_003/post_lhs00_003/atom_2590000.liggghts	6ae04542ddaae7e91197110b9f7b229fd8b4a22dcbc11981704a76f987898097	/home/yonghoon71/lhs_local/lhs00_003/post_lhs00_003/contact_2590000.liggghts	30f37874ddb177770c18fade225b64e1c7c2e15b31d7ca53a5e173a8daa5dad3	2590000	2590000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_004	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_004/input_lhs00_004.liggghts	028b31def2f2bdd34d4b3b6693a3bd2a5e03442b2c2c528bad247c274c43de00	/home/yonghoon71/lhs_local/lhs00_004/post_lhs00_004/atom_2940000.liggghts	6249009ae26e96dae736f5a7337ef5c5cc82f66aab6de048b66e7b2b5403d063	/home/yonghoon71/lhs_local/lhs00_004/post_lhs00_004/contact_2940000.liggghts	708c8fb41dc6637257ac6b3b47acffdcd0d81eb7baf19aba513b480c26764503	2940000	2940000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_005	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_005/input_lhs00_005.liggghts	cb0f3c2918627b6f9a4649e54544db5f5ba4ab9b2087c8f1461375c6cb47e358	/home/yonghoon71/lhs_local/lhs00_005/post_lhs00_005/atom_3800000.liggghts	fcb4ea4e5be66fdb3b82511dbcff2a79d0c6a859a0f083523268f67f43d8f768	/home/yonghoon71/lhs_local/lhs00_005/post_lhs00_005/contact_3800000.liggghts	6a656e5fe885f9103d83d4820d27cd6644b2afa16dc6b1faa5b5ccace03f13e2	3800000	3800000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_006	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_006/input_lhs00_006.liggghts	8070dcca21360203e25241a9e8928519e2baf8aeaa2fdfecb145bc11624f45bb	/home/yonghoon71/lhs_local/lhs00_006/post_lhs00_006/atom_2750000.liggghts	52bfbd25ed783bce76f3e85e8b0e601521ec5f927a40dfd276d1c6aae4b2e7fc	/home/yonghoon71/lhs_local/lhs00_006/post_lhs00_006/contact_2750000.liggghts	d0b2271b48ecf2fed0a351fc8141eedb55f6384c1c6216354974bdca239abb33	2750000	2750000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_007	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_007/input_lhs00_007.liggghts	cf6df5aaadb058b954994fd582dcaf5d7d7a02bf86e82fe0c9883f3a4cdc66dd	/home/yonghoon71/lhs_local/lhs00_007/post_lhs00_007/atom_2990000.liggghts	9a8bf265e66b2284b16422c08008543e74b50e83bab162aa52bf5b06bb6242b7	/home/yonghoon71/lhs_local/lhs00_007/post_lhs00_007/contact_2990000.liggghts	c7b80546bd89ee5cd668816c4f7878922cff0d01a0820c052139c19666be9430	2990000	2990000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_008	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_008/input_lhs00_008.liggghts	9fd6a617d4a117778b14c9e116a3f8abcb2f3ea38f75352d2f083e6e95c2b42a	/home/yonghoon71/lhs_local/lhs00_008/post_lhs00_008/atom_2430000.liggghts	8bab6f44dd4b1c3ce2222a9b403d5a033e6d55186460dfbb7f3ff343468216c3	/home/yonghoon71/lhs_local/lhs00_008/post_lhs00_008/contact_2430000.liggghts	9aaacc791fe1e12b3b90fff606233e86127f566161e1fb6c7058bb9050a51467	2430000	2430000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
lhs00_009	RAW_OK	bimodal	design_csv	3	/home/yonghoon71/lhs_local/lhs00_009/input_lhs00_009.liggghts	40a1c65ca440f9e27878ad06ab5d8d63299e90496d6a4a498c99c9b4686bf46c	/home/yonghoon71/lhs_local/lhs00_009/post_lhs00_009/atom_3310000.liggghts	e618042ae4d5e46d8d79f175faa17d731d50587721cd5f44467576ade2cc3696	/home/yonghoon71/lhs_local/lhs00_009/post_lhs00_009/contact_3310000.liggghts	4feccea0d335aa382540fc2b6f3736f53e57ee0bcfa563ec2b50f8c0c672bae9	3310000	3310000	0	포함: 원자료·덱 실재 (솔버 성공 여부는 보지 않았다)
