# Mesarovic & Fleck (2000) Int. J. Solids Struct. 37(46-47) 7071-7091
# Frictionless indentation of dissimilar elastic-plastic spheres (FEM, ABAQUS J2)
# DOI 10.1016/S0020-7683(99)00328-5
# All values STATED unless marked digitized(approx, TREND-only). Mean pressure normalized by sigma_0 (lower of two yield strengths) or sigma_r (reduced ref stress for hardening).
# quantity,value,units,regime/condition,source,notes
# --- regime structure: mean contact pressure F/(pi a^2 sigma_0) vs (a E*/R0 sigma_0) ---
p_mean_first_yield,1.1,x_sigma_y,elastic->elastic-plastic onset,Johnson-stated(I=MesarovicFleck1999),"first yield p_mean ~ 1.1 sigma_y; quoted ~10% above sigma_y in text"
aE_over_R0sigma0_at_first_yield,2.5,dimensionless,elastic Hertz upper bound,stated_Fig4a,"Hertzian (purely elastic) for aE*/R0sigma0 < 2.5"
aE_over_R0sigma0_elastic_plastic_range,2.5-50,dimensionless,elastic-plastic regime (ideally-plastic m=inf),stated_Fig4a,"p_mean rises with aE*/R0sigma0 in this range (Johnson elastic-plastic)"
aE_over_R0sigma0_plateau_onset,~50,dimensionless,fully-plastic similarity plateau onset (m=inf),stated_Fig4a,"plateau (H) reached for aE*/R0sigma0 >~ 50 IF yield strain high enough"
aE_over_R0sigma0_plateau_onset_m3,~100,dimensionless,similarity plateau onset (m=3 hardening),stated_Fig5a,"F/(pi a^2 sigma_r) rises until aE*/R0sigma0 ~ 100 then plateau"
p_mean_fully_plastic_cap_idealplastic,2.8-3.0,x_sigma_y,fully-plastic similarity plateau (m=inf),digitized_Fig4ab(approx),"Tabor hardness H ~ 2.8-3 sigma_y; plateau of F/(pi a^2 sigma_0) at ~2.8-3.0"
p_mean_similarity_constant_k_m_inf,3.0,F/(pi a^2 sigma_0),rigid-ideally-plastic similarity (1.4),stated_Fig4,"k(m=inf) similarity value ~3.0 (the horizontal 'similarity solution' line)"
contact_area_similarity_constant,1.4,a^2/(2 h R0),fully-plastic similarity plateau (m=inf),stated_Fig4cd,"a^2/2hR0 -> ~1.4 in similarity regime; >1 means contact LARGER than geometric overlap (sink-in/pile-up)"
contact_area_similarity_constant_m3,~0.95,a^2/(2 h R0),similarity plateau (m=3 hardening),digitized_Fig5cd(approx),"a^2/2hR0 ~ 0.92-0.95 for m=3 (less than ideally-plastic 1.4)"
# --- finite-deformation regime onset (a/R0 critical) ---
a_over_R0_finite_def_onset_case_i,~0.16,a/R0,deformable sphere vs rigid platen (R_d/R_t=0),stated,"average pressure drops for a/R0 > ~0.16 (Brinell case iii drops here)"
a_over_R0_finite_def_onset_case_i_m3,~0.06,a/R0,deformable sphere/rigid half-space m=3,stated_Fig5b,"finite-def regime entered when a/R0 exceeds ~0.06 for case (i)"
a_over_R0_finite_def_onset_case_ii_m3,~0.1,a/R0,deformable sphere vs rigid sphere equal size m=3,stated_Fig5b,"~0.1 for case (ii)"
a_over_R0_max_indentation_depth,0.2,h/R,max indent depth used (= stage I end),stated_eq2.3,"h=0.2R for D0=0.64 -> D=0.88; stage I ends D~0.8"
# --- dimensionless groups (the map axes) ---
group_elastic_plastic_governing,aE*/(R0 sigma0),dimensionless,governs elastic-plastic regime,stated_sec2.3,"E* combined plane-strain modulus eq2.4; R0 combined radius eq1.3; sigma0 = min(sigma01,sigma02)"
