block,quantity,condition,value,unit,precision,source_fig,note
# ============ FABRICATION (cold-press, SE-only calibration vs Sakuda) ============
fabrication,relative_density,Pfab=0_initial_loose,0.30,-,digitized,Fig4a,initial packing of SE clusters (alpha=0.65 run)
fabrication,relative_density,Pfab=50MPa,0.62,-,digitized,Fig4a,Sim alpha=0.65 (red alpha=1.0 lower ~0.62; blue alpha=0.5 higher ~0.67)
fabrication,relative_density,Pfab=74MPa,0.70,-,digitized,Fig4a,matches Sakuda experiment open circles at 74 MPa
fabrication,relative_density,Pfab=100MPa,0.74,-,digitized,Fig4a,alpha=0.65 black curve
fabrication,relative_density,Pfab=200MPa,0.83,-,digitized,Fig4a,
fabrication,relative_density,Pfab=360MPa,0.90,-,digitized,Fig4a,Sakuda SEM comparison point (Fig4g)
fabrication,relative_density,Pfab=500MPa,0.95,-,digitized,Fig4a,alpha=0.65; alpha=0.50 reaches ~0.96
fabrication,contact_area_ratio_alpha,calibration_best_fit,0.65,-,stated,Fig3-4,sub-particle non-dimensional contact area ratio alpha (eq9 A_con=pi*h_ov*R_eff*alpha); best Sakuda match
fabrication,contact_area_ratio_alpha,tested_set,0.50/0.65/0.80/1.00,-,stated,Fig4a,alpha=1.0 (no area correction) UNDER-densifies vs Sakuda; 0.65 best
fabrication,electrode_height_SEonly,Pfab=50MPa_initial,~13.5e4,um(plot_scale),digitized,Fig3b,height y-axis x1e4 um (cluster-scale model); loading then unloading springback
fabrication,electrode_height_SEonly,Pfab=500MPa_final,~6.5e4,um(plot_scale),digitized,Fig3b,higher Pfab -> lower final height; springback on unload (height rises but not to initial)
fabrication,springback,unload_all_Pfab,partial_recovery,-,stated,Fig3b,height increases on unloading but does NOT return to initial (permanent plastic h_eq)
# ============ MATERIAL / MODEL PARAMETERS (Table I) ============
params,e_COR,both,0.5,-,stated,TableI,coefficient of restitution (This study)
params,E_SE_LPS,sulfide_75Li2S25P2S5,24,GPa,stated,TableI,Young modulus sulfide SE (Sakuda et al ref9)
params,E_AM_Si,silicon_anode,70,GPa,stated,TableI,Young modulus Si AM (Sethuraman et al ref34)
params,L_cat,cathode_layer,60,um,stated,TableI,thickness of cathode layer (This study) - used for areal spring constant in intercalation
params,L_SE,SE_layer,60,um,stated,TableI,thickness of SE layer (This study)
params,Pfab_range,fabrication_sweep,50-500,MPa,stated,TableI,fabrication pressure sweep
params,SOCmax_range,intercalation_sweep,8-24,%,stated,TableI,maximum State of Charge (partial intercalation of Si)
params,mu_friction,both,0.5,-,stated,TableI,friction coefficient (This study)
params,nu_Poisson,both,0.3,-,stated,TableI,Poisson ratio (This study)
params,beta_Si_expansion,Si_intercalation,2.8,-,stated,TableI,Si expansion factor beta_Si (relative volume expansion of fully charged AM; Obrovac et al ref35)
params,sigma_H_SE_hardness,LPS,1.9,GPa,stated,TableI,Hardness of SE (McGrogan et al ref31) -> yield threshold F_th=2/3*sigma_H*A_con
params,phi_AM_rel,anode_AM_volfrac,0.4,-,stated,TableI,AM volume fraction relative to all solids in anode
params,cluster_diameter,SE_aggregates,5-10,um,stated,Methods,particle grouped in clusters dia 5-10um (matches Sakuda SEM observation)
params,Si_capacity,literature_context,~4200,mAh/g,stated,Intro,high-capacity Si; may expand up to ~300% (volume) on full lithiation
