# Sangros Gimenez et al., Chem. Eng. Technol. 43 (2020) No.5, 819-829, DOI 10.1002/ceat.201900501
# "Modeling the Electrical Conductive Paths within All-Solid-State Battery Electrodes"
# Material: LFP active material + carbon black (CB) additive + PEO-LiTFSI POLYMER electrolyte (insulator -> treated as pore).
# Method: DEM (LIGGGHTS, Hertz-Mindlin elastic + vdW) -> A* shortest-path -> equivalent-circuit (cylinder R=rho*l/A, no constriction) -> sigma_e.
#   sigma_ionic NOT solved directly -> estimated via skeleton-model tortuosity tau + Bruggeman D_eff = eps_el/tau * D_el.
# WARNING: LFP+CB+POLYMER, NOT our LPSCl+NMC811 -> do NOT transfer absolute values. TREND/method only.
# source: stated = Table/text exact; digitized = read off Fig (TREND only, +/- approximate).
quantity,value,unit,condition_CB_wt_pct,composition_or_note,stated_or_digitized,figure_or_table
# --- electrolyte content V_el = simulation "porosity" (manufactured electrode porosity ~0 due to calendering; pore=electrolyte) ---
V_electrolyte,60.00,pct,0,LFP+PEO-LiTFSI; CB 0wt%,stated,Table4
V_electrolyte,48.80,pct,0.5,,stated,Table4
V_electrolyte,48.80,pct,2,,stated,Table4
V_electrolyte,47.20,pct,3.7,,stated,Table4
V_electrolyte,46.6,pct,5.2,,stated,Table4
V_electrolyte,45.00,pct,8,extended sim cathode,stated,Table5
V_electrolyte,43.00,pct,10,extended sim cathode,stated,Table5
V_electrolyte,45.00,pct,15,extended sim cathode,stated,Table5
V_electrolyte,46.00,pct,20,extended sim cathode,stated,Table5
# --- sigma_electronic EXPERIMENTAL (4-point / two-point, 40 N composite, 10 mA, 3 s) ---
sigma_e_exp,1.61e-3,S/cm,0,4-point measured,stated,Table4
sigma_e_exp,1.95e-3,S/cm,0.5,4-point measured,stated,Table4
sigma_e_exp,6.20e-3,S/cm,2,4-point measured,stated,Table4
sigma_e_exp,1.59e-2,S/cm,3.7,4-point measured,stated,Table4
sigma_e_exp,2.54e-2,S/cm,5.2,4-point measured,stated,Table4
# --- sigma_electronic MODEL (A* + equivalent circuit, this work) ---
sigma_e_model,1.6e-3,S/cm,0,A* model (blue dots); TREND,digitized,Fig4
sigma_e_model,2.5e-3,S/cm,0.5,A* model; TREND,digitized,Fig4
sigma_e_model,6.0e-3,S/cm,2,A* model; TREND,digitized,Fig4
sigma_e_model,1.3e-2,S/cm,3.7,A* model; UNDER-predicts exp; TREND,digitized,Fig4
sigma_e_model,2.2e-2,S/cm,5.2,A* model; UNDER-predicts exp; TREND,digitized,Fig4
sigma_e_model,8e-3,S/cm,8,extended; TREND,digitized,Fig5
sigma_e_model,3.0e-2,S/cm,10,extended; TREND,digitized,Fig5
sigma_e_model,3.4e-2,S/cm,15,extended saturating; TREND,digitized,Fig5
sigma_e_model,3.4e-2,S/cm,20,extended saturating; TREND,digitized,Fig5
# --- sigma_electronic PERCOLATION THEORY (Costamagna eq15, Bruggeman eq14, mu=1.5) -- benchmark only ---
sigma_e_perc,1.0e-3,S/cm,0,percolation theory (green tri); TREND,digitized,Fig4
sigma_e_perc,2.4e-3,S/cm,0.5,percolation theory; TREND,digitized,Fig4
sigma_e_perc,7.0e-3,S/cm,2,percolation theory; TREND,digitized,Fig4
sigma_e_perc,2.2e-2,S/cm,3.7,percolation OVER-predicts exp; TREND,digitized,Fig4
sigma_e_perc,3.4e-2,S/cm,5.2,percolation OVER-predicts exp; TREND,digitized,Fig4
# --- sigma_ionic MODEL (tau-skeleton + Bruggeman D_eff = eps_el/tau * D_el; ESTIMATE, not direct solver) ---
sigma_ion_model,7.3e-5,S/cm,0,Fig7 right axis; DECREASES with CB; TREND,digitized,Fig7
sigma_ion_model,6.0e-5,S/cm,5,interp; TREND,digitized,Fig7
sigma_ion_model,5.0e-5,S/cm,10,TREND,digitized,Fig7
sigma_ion_model,4.6e-5,S/cm,20,CB up -> tau up -> sigma_ion down; TREND,digitized,Fig7
# --- specific number of conductive paths n'_paths (eq16 normalized) ---
n_paths_specific,10,per_um,0,A* path count normalized; TREND,digitized,Fig5
n_paths_specific,38,per_um,20,saturating with CB; TREND,digitized,Fig5
# --- percolation knee / increase rate (stated) ---
sigma_e_increase_rate,85.89,pct,2-to-3.7,just-after-percolation steep rise,stated,text
sigma_e_increase_rate,18.65,pct,8-to-10,after-percolation gradual (network count only),stated,text
percolation_threshold_note,2,wt_pct,~2,CB<=0.5wt% below threshold(sigma~0); ~2wt% network forms,stated,text
optimal_CB_compromise,5,wt_pct,~5,electronic/ionic trade-off optimum (do not exceed ~6-8),stated,Conclusion
# --- intrinsic resistivities (powder-calibrated single-particle, sigma_e inputs) ---
sigma_powder_LFP,0.023,S/cm,NA,LFP powder eps=0.60,stated,Table3
sigma_powder_CB,4.390,S/cm,NA,CB powder eps=0.74,stated,Table3
porosity_powder_LFP,0.60,frac,NA,LFP powder,stated,Table3
porosity_powder_CB,0.74,frac,NA,CB powder,stated,Table3
