## Yun et al., Energy Storage Materials 59 (2023) 102787 — "Deciphering the critical degradation factors of solid composite electrodes with halide electrolytes: Interfacial reaction versus ionic transport"
## Lab paper (Jong-Won Lee co-corresponding, Hanyang + Janghyuk Moon co-corresponding, Chung-Ang). System: single-particle (SC) NCM811 LiNi0.8Co0.1Mn0.102 + two SEs compared: sulfide LPSCl (Li6PS5Cl) vs halide LIC (Li3InCl6).
## Composite NCM:SE:SuperP = 72:27:1 wt%. SE layer pressed 433 MPa, full cell 250 MPa. Voltage 2.5-4.3 V vs Li/Li+, 0.33C cycling, 30 C. EIS 7 MHz-1 mHz, 5 mV, modified TLM decoupling (R_ion / R_int).
## CORE THESIS: NCM-LPSCl degrades by INTERFACIAL REACTION (R_int up, resistive interphase P2Sx/Li2S); NCM-LIC degrades by IONIC TRANSPORT (R_ion up, cracking-induced mechanical deformation of LIC under pressure).
## src: stated = text/Table; digitized = read off figure (TREND only, approximate). All Ohm.cm2 unless noted.
##
## ===== A. DECOUPLED IMPEDANCE (modified TLM fit, Table S1) — the paper's central numbers =====
category,quantity,system,condition,value,unit,src,note
impedance_TLM,R_ion,NCM-LPSCl,before_cycling,126.1,Ohm.cm2,stated_TableS1,Li+ transport impedance (ion rail)
impedance_TLM,R_ion,NCM-LPSCl,after_cycling,155.6,Ohm.cm2,stated_TableS1,modest rise (+23%) — LPSCl transport stays OK
impedance_TLM,R_int,NCM-LPSCl,before_cycling,341.7,Ohm.cm2,stated_TableS1,interfacial (charge-transfer) impedance
impedance_TLM,R_int,NCM-LPSCl,after_cycling,982.3,Ohm.cm2,stated_TableS1,★ +187% — LPSCl DEGRADES BY INTERFACIAL REACTION (resistive interphase)
impedance_TLM,R_ion,NCM-LIC,before_cycling,302.5,Ohm.cm2,stated_TableS1,higher pristine R_ion (LIC lower bulk sigma 1.2 vs 1.6)
impedance_TLM,R_ion,NCM-LIC,after_cycling,595.6,Ohm.cm2,stated_TableS1,★ +97% (~2-fold) — LIC DEGRADES BY IONIC TRANSPORT (SE cracking)
impedance_TLM,R_int,NCM-LIC,before_cycling,65.2,Ohm.cm2,stated_TableS1,low pristine R_int (LIC interface stable)
impedance_TLM,R_int,NCM-LIC,after_cycling,113.8,Ohm.cm2,stated_TableS1,modest rise — LIC interface stays relatively stable
## --- r_ion / r_int reported also in volume units (Omega.cm3) in main text (Fig 2 discussion) ---
impedance_vol,r_int,NCM-LPSCl,pristine,6305,Ohm.cm3,stated_text,first-charge fit; LPSCl higher pristine r_int than LIC
impedance_vol,r_int,NCM-LIC,pristine,1.3,Ohm.cm3,stated_text,★ LIC much lower pristine interfacial (stable interface)
impedance_vol,r_ion,NCM-LPSCl,pristine,6.8,Ohm.cm3,stated_text,LPSCl higher bulk ionic conductivity -> low r_ion
impedance_vol,r_ion,NCM-LIC,pristine,15125,Ohm.cm3,stated_text,★ LIC much higher r_ion (lower Li+ conductivity)
impedance_vol,r_int,NCM-LPSCl,after_cycling,19.6,Ohm.cm3,stated_text,r_int rose from 6.8 -> 19.6 (text; note unit/scale per main text)
impedance_vol,r_ion,NCM-LIC,after_cycling,29780,Ohm.cm3,stated_text,★ ~2-fold rise 15125->29780 (LIC ionic transport degrades)
## --- supporting circuit elements (Table S1 unit-cell TML fit) ---
impedance_TLM,CPE_int_C,NCM-LPSCl,before_cycling,96.8,uF.s^(eta-1).cm-2,stated_TableS1,eta=0.8
impedance_TLM,CPE_int_C,NCM-LIC,before_cycling,257.6,uF.s^(eta-1).cm-2,stated_TableS1,eta=0.9
impedance_TLM,Zw_Rw,NCM-LPSCl,before_cycling,14.7,Ohm.cm2,stated_TableS1,Warburg (solid-state diffusion in NCM); T=5.1 s f=0.2
impedance_TLM,Zw_Rw,NCM-LIC,before_cycling,30.7,Ohm.cm2,stated_TableS1,T=22.5 s f=0.4
impedance_TLM,Zw_Rw,NCM-LPSCl,after_cycling,11.8,Ohm.cm2,stated_TableS1,T=3002.6 s f=0.2 (large diffusion time const after cycling)
impedance_TLM,Zw_Rw,NCM-LIC,after_cycling,1017.9,Ohm.cm2,stated_TableS1,T=0.5 s f=0.6
##
## ===== B. SE IONIC CONDUCTIVITY (AC-impedance, 25 C) =====
bulk_sigma,sigma_ion,LPSCl,bulk_SE_25C,1.6,mS/cm,stated_text,= Minnmann 1.6 / Kim2025 1.6 (consistent); our sulfide bulk anchor
bulk_sigma,sigma_ion,LIC_Li3InCl6,bulk_SE_25C,1.2,mS/cm,stated_text,halide; ~0.75x of LPSCl (lower sigma, higher oxidative stability)
bulk_sigma,sigma_ion,LIC_under_pressure,initial,1.2,mS/cm,stated_Fig4b,pellet under 250 MPa, t=0
bulk_sigma,sigma_ion,LIC_under_pressure,after_240h,0.6,mS/cm,stated_Fig4b,★ DECREASES to 0.6 over 240 h UNDER PRESSURE (cracking-induced) -2x
bulk_sigma,sigma_ion,LPSCl_under_pressure,after_240h,1.6,mS/cm,stated_Fig4b,★ STABLE 1.6 (no decay under pressure) — contrast with LIC
bulk_sigma,sigma_ion,LIC_noPressure_Ar,similar_period,no_loss,mS/cm,stated_FigS9,no conductivity loss when stored WITHOUT pressure -> loss is PRESSURE-driven (mechanical)
##
## ===== C. MECHANICAL MODULI (FS force-spectroscopy local + FEM input) =====
modulus,E_NCM,NCM811,FEM_input,175,GPa,stated_FEM,FEM mechanical modulus (cf Kang2025 E_NCA=175; our NMC811 140)
modulus,E_LPSCl,LPSCl,FEM_input,32.8,GPa,stated_FEM,★ WITHIN-CORPUS DISCREPANCY: 32.8 here vs 22.1 (Bazzoun/Kang2025/Kim2025) vs our real ~24
modulus,E_LIC,LIC_Li3InCl6,FEM_input,41.1,GPa,stated_FEM,halide modulus; STIFFER than LPSCl
modulus,E_mean_LPSCl_pristine,LPSCl,FS_measured_pristine,32.8,GPa,stated_Fig4e,FS local modulus (force-distance, DMT fit); matches FEM input
modulus,E_mean_LIC_pristine,LIC,FS_measured_pristine,41.1,GPa,stated_Fig4d,FS pristine; LIC stiffer than LPSCl pristine
modulus,E_mean_LPSCl_pressurized,LPSCl,FS_after_pressure,29.3,GPa,stated_Fig4f,★ LPSCl nearly unchanged (32.8->29.3) under pressure
modulus,E_mean_LIC_pressurized,LIC,FS_after_pressure,19.8,GPa,stated_Fig4d,★ LIC SEVERE drop (41.1->19.8, -52%) = cracking/mechanical degradation
modulus,FS_scan_area,both,FS_measurement,5x5,um,stated_SI,256x256 px, 0.2 Hz scan rate, DMT model
