# Kang, Shin et al., Energy Storage Materials 63 (2023) 103049 (DOI 10.1016/j.ensm.2023.103049)
# Hanyang (Jong-Won Lee) + DGIST + Samsung SDI. CAM=NCA LiNi0.88Co0.09Al0.03O2, SE=LPSCl Li6PS5Cl, +Super P; cathode 72:27:1 wt%.
# Anodes compared: HIGH-STRAIN Li-In (In 100um + Li 200um) vs ZERO-STRAIN LTO Li4Ti5O12 composite (LTO:LPSCl:SuperP=50:40:10).
# fab 433 MPa / operating stack 250 MPa (bolt-tightened, pressure-sensor monitored); 2.5-4.3 V; 0.05C 1st (CC-CV, CV cutoff 20%) then 0.5C; 30 C.
# THESIS: high-strain anode volume change -> "dynamic contact" -> NCA/LPSCl interfacial heterogeneity -> GPa diffusion-induced stress -> NCA grain-boundary cracking.
# This is Kang 2025 (ACS AMI) ref [27]; SAME group/first author (Junhee Kang). NOTE user-supplied first-author "Kim" is WRONG: actual first author = Kang (Siwon/Beomsu Kim are coauthors).
# source: stated=text/Table S3 (verbatim) ; digitized=read from figure or text-approx (TREND only).
quantity,value,unit,cell_or_system,condition,source,figure_table,notes
# --- in-situ pressure swing (the high-strain signature) ---
in_situ_dP,3.8,MPa,Li-In_cell,250MPa stack 0.05C 1st (charge expand/discharge contract),stated,Fig1b,high-strain anode; text also "approx 4.0 MPa"
in_situ_dP,0.2,MPa,LTO_cell,250MPa stack,stated,Fig1c,zero-strain anode; text "approx 0.2 MPa"
# --- 1st discharge capacity (identical -> difference is cycling only) ---
discharge_capacity_1st,152.7,mAh_g-1,Li-In_cell,0.5C 1st,stated,text,
discharge_capacity_1st,152.4,mAh_g-1,LTO_cell,0.5C 1st,stated,text,nearly identical to Li-In
# --- capacity retention (KEY RESULT) ---
capacity_retention_100cyc,82.5,percent,Li-In_cell,0.5C,stated,Fig1e,
capacity_at_200cyc,9,mAh_g-1,Li-In_cell,0.5C 200th,stated,Fig1e,KEY: severe collapse after ~120 cyc
capacity_retention_200cyc,75.6,percent,LTO_cell,0.5C,stated,Fig1g,KEY: zero-strain anode stable
coulombic_efficiency,99.97,percent,LTO_cell,0.5C,stated,Fig1g,
# --- EIS Z-type TLM, cathode, vs cycle: Li-In cell (Table S3) ---
R_Ohmic,34.0,Ohm_cm2,Li-In_cell,cycle1 cathode TLM,stated,Table_S3,
R_ion,27.8,Ohm_cm2,Li-In_cell,cycle1,stated,Table_S3,
R_int,28.8,Ohm_cm2,Li-In_cell,cycle1,stated,Table_S3,
R_w,21.6,Ohm_cm2,Li-In_cell,cycle1,stated,Table_S3,
CPE_int_C,152.7,uF_s_eta-1_cm-2,Li-In_cell,cycle1,stated,Table_S3,
