id	section	location	citation_as_written	canon_card	bib_verdict	claim	claim_verdict	evidence	first_commit
G1a-9	1a	build.js:146–148 (본문) · :270 (목록)	[9] (already cited) T. Minnmann et al., Adv. Energy Mater. 2022, 12, 2201425	minnmann2022_designing_cathodes_solidstate	M(서지) — 1저자 P. Minnmann ("T." 오기); 권·쪽·DOI 는 카드와 일치	"The ~10 % target is derived from composite and glass literature rather than measured directly on pure LPSCl, and the 11–12 % contact overlap is a pure-SE simulation consistency result …^[9]"	M	카드 §0: "이 논문엔 porosity 숫자가 단 하나도 없다". 이름 붙은 "composite/glass literature" 의 실제 값은 13–17 % @380 MPa 복합 (minnmann2021_jes 카드) · ~87 % 밀도 @~300 MPa 유리 판독 (sakuda2013 카드) — ~10 % 가 아니다. 순수 LPSCl 펠릿 정본값: 13 ± 2 % @360 MPa (song2025_porous), 18 % @370 MPa (doux2020), 연구실 6 곳 13.3 ± 5.3 % @275–441 MPa (ohno2020 SI, 카드 유도값) → 10 % 는 연구실 간 산포 안일 뿐 "유도" 되지 않는다. 11–12 % 겹침은 문장 스스로 시뮬 결과라 하므로 [9] 가 받칠 내용이 없다 (감사 C A2 와 같은 판정)	c2670de6e 2026-08-23 → 현 문장형 d45576e2a 2026-08-29
G1a-34	1a	build.js:145–146 (본문) · :268 (목록)	[34] A. Sakuda, A. Hayashi, M. Tatsumisago, Sci. Rep. 2013, 3, 2261	sakuda2013_sulfide_mechanical_property	V	"the dense-material value (24 GPa)^[34]" (문맥상 LPSCl 치밀 영률)	M (소재)	카드 §3: E 24 GPa = 75Li₂S·25P₂S₅ **유리** (초음파, 열간프레스 고밀도 펠릿), "⚠ NOT LPSCl". LPSCl 값이 필요하면 정본 deng2016 (DFT E 22.1 GPa, ν 0.37) 이 있다 (감사 A SA-2)	c2670de6e 2026-08-23
G1a-S7	1a	build.js:201 (표 S2) · :276 (목록)	[S7] Sakuda et al., "Sulfide solid electrolyte with favorable mechanical property…", Sci. Rep. 3 (2013) 2261	sakuda2013_sulfide_mechanical_property	V	표 S2 LPSCl "Young's modulus (dense) 24 GPa — Ref. S7"	M (소재)	위와 같다 (유리값). ⚠ si_table_response_20260925 §7-2 #5: 준희가 본 사용자 docx 에서는 이 행이 이미 빠졌고 생성기에만 남아 있다 — 본문 "(24 GPa)[34] is listed beside it in Table S2" 와 표가 어긋난다	c2670de6e 2026-08-23 ([34] 로) → 9aa882135 2026-08-24 (Ref. S7)
G1a-S8	1a	build.js:206 (표 S2) · :277 (목록)	[S8] M. Cronau, M. Szabo, C. König, T. B. Wassermann, B. Roling, "How to measure a reliable ionic conductivity? …", ACS Energy Lett. 6 (2021) 3072–3077	cronau2021_stack_pressure_ionic_conductivity	V	표 S2 LPSCl "Ionic conductivity 3.0 × 10⁻³ S cm⁻¹ — Ref. S8 (pellet, SI Fig. S2c)"	P	카드 (SI 보강 canon 729818f95): µC-Li₆PS₅Cl 펠릿, 적층압 ≥146 MPa 평탄 2.88–3.46 mS/cm (그림 판독); 3.0 = 하단. 값이 본문 stated 가 아니라 그림 판독이고 적층압·어닐 조건이 표에 없다 → P. 원장 CL-91	—
G1a-S6	1a	build.js:198 (표 S2) · :275 (목록)	[S6] T. Sedlatschek, et al., "Characterization of the grain boundary strength of polycrystalline NMC811 using in situ micro tensile tests", J. Power Sources 681 (2026) 240276	sedlatschek2026_nmc811_grain_boundary_strength_micro_tensile	V (저자·권·기사번호·DOI 는 카드, 제목은 검색 확인 — 카드에 영문 제목 없음)	표 S2 NCM811 "Young's modulus 140 GPa — Ref. S6"	V	카드 p.4: 다결정 NCM811 나노압입 138 GPa, SD 24 GPa, n = 29, ν = 0.32 가정. 140 은 평균의 95 % 구간 (129–147) 안. 사용자 결정 09-25 (CL-90 교체). ⚠ 한정: AM_S(단결정 규약) 는 이 논문이 잰 대상 아님 (카드 §0)	—
G1a-33	1a	build.js:138 (본문) · :267 (목록)	[33] C. Kloss, C. Goniva, A. Hager, S. Amberger, S. Pirker, Prog. Comput. Fluid Dyn. 2012, 12, 140	없음 (LIGGGHTS 인용으로 bazzoun2025 · giannis2021 · paulick2015 카드에 등장)	B (검색 — PCFD 12(2/3) 140–152; 감사 C 출처)	"computed by the discrete element method (DEM) in LIGGGHTS,^[33]"	C	방법 인용 — 값 귀속 없음	—
G1a-35	1a	build.js:150 (본문) · :269 (목록)	[35] Y. Hu, Y. Fang, Z. Ge, Z. Qu, Y. Zhu, A. Pradhana, C. Jiang, ACM Trans. Graph. 2018, 37, 150	없음	B (검색 — MLS-MPM, ACM TOG 37(4) 150; 감사 C 출처)	"GPU-accelerated material point method (MPM)^[35] with J2 plasticity"	C	방법 인용	—
G1a-anc	1a	build.js:155–157 (본문)	"The resulting beds are more compacted than the experimental porosity anchor" (인용 번호 없음)	—	—	실험 공극 앵커	U⚠	Methods v7 docx 한국어부가 그 앵커를 "~15.6 %" 로 적는데, 리포 정본 표 (fam_platen_prereg_20260812.md:30) 는 15.6 % 의 출처를 "DEM 정본" (real_14 LIGGGHTS ε_sphere) 이라 적는다 — 실험 측정 기록을 찾지 못했다 (§1c G1c-3)	6e65e28bd 2026-08-29
G1a-t1	1a	build.js:207 (표 S2)	Source 라벨 "Supplier data"	— (공급사 데이터시트 원본이 리포에 없음)	—	VGCF fiber diameter 0.15 µm	U	endo2001 카드 §3-5: 그 논문은 "VGCF-H" 이름을 쓰지 않고 섬유 0.2 µm. 150 nm 은 kim2025_conductive_agent 카드로 V 가능 (감사 B E12). 사용자 docx 는 "Measured" 로 라벨 (si_table_response §7-2 #11 — SEM 원자료 대기)	—
G1a-t2	1a	build.js:209 (표 S2)	Source 라벨 "Effective value" · 행 이름 "(compressed powder)"	endo2001_vgcf_basic_properties_battery_applications	—	VGCF σ_e 1.0 × 10² S cm⁻¹ (compressed powder)	P (라벨)	Endo 2001: 흑연화 s-VGCF 0.8 g/cm³ 압분 ≈0.012 Ω·cm ≈80 S/cm (Fig. 7 판독) — 100 은 그 값에서 유도되지 않았다 (si_table_response §7-2 #13: 행 이름이 분말 측정값처럼 읽힌다)	—
