screen,surface_model,poses,acid_H_donor_hbond,surface_OH_donor_hbond_reverse,best_E_bind_eV,notes
clean_6orient_2026_07_11,stoichiometric LiNiO2(104) frozen clean-DFT slab,6,0/6 (no surface O within 3.5 A; O-H 0.98-0.99 A keeps and rotates away),n/a (no surface H),-2.733 neutral best (chelation_r0),UMA static relax; no H-bond precursor on clean lattice O
hydroxyl_6pose_2026_07_12,same slab + 3 dissociated H2O as OH@cation + H@lattice-O patch (UMA E_ads +0.403 eV/H2O -> patch metastable on frozen slab),6,0/6 (min H..O 3.42 A; acid O-H 0.982-0.986 A),0/6 (min surfOH->molO 2.43 A at OHdown_r270; crit 2.2; champion sulfdown_r90 3.51 A),-2.989 (sulfdown_r90),reverse direction explicitly checked; E_bind gain vs clean (-2.99 vs -2.73) is NOT H-bond mediated -- attributed to sulfonate-O/surface-cation coordination + adsorbate co-relaxation in the complex reference; slab frozen; uma-s-1p1/oc20 static
"# VERDICT (2026-07-12): at the static-UMA level the SDCP SO3H forms NO hydrogen bond with LiNiO2(104) in EITHER direction"
"#   (acid-H donor AND surface-OH donor), on clean AND on hydroxylated surfaces. Anchoring remains coordination-driven (sulfonate O -> surface cations)."
"# Literature reconciliation status: 'sulfonic acid H-bonds to NCM' claims remain compatible only outside this model's scope:"
"#   PSS-type excess free acid, molecularly adsorbed water multilayers, carbonate/hydroxide RESIDUAL layers (not lattice-terminated OH),"
"#   unfrozen/reconstructed or delithiated surfaces, and finite temperature. Next probes: (i) UMA MD 300 K on champion pose (script"
"#   tools/sdcp/uma_md_interface.py), (ii) molecular-water layer variant, (iii) top-layer-unfrozen variant. Any TRANSFER event in MD => DFT recheck."
"# CAVEATS: UMA cannot treat charge separation (proton-transfer thermochemistry unreliable -> geometry screening only); dissociative"
"#   adsorption penalized by full-slab freeze (+0.403 eV/H2O may be overestimated); oc20 task head; single patch geometry (n=3 waters)."
