# ===== SUPERSEDED (2026-07-09, SEMIFINAL) - SINGLE-SEED. DO NOT QUOTE. =====
# This file decomposes D0_ratio 1.236, which the fully symmetric 3-seed x 3-T reseed
#   overturned: D0 = 4.625e-04 (b2o3) vs 4.791e-04 (LPSCl1.6) = 0.965x (b2o3 slightly LOWER).
# With no D0 gain to explain, the geometry/dynamics split below has no referent.
# CANONICAL: db/properties/b2o3_vs_lpscl16_conductivity.csv (FINAL 2026-07-07).
factor_SUPERSEDED,b2o3_SUPERSEDED,LPSCl1.6_SUPERSEDED,ratio_SUPERSEDED_retracted_D0_1p236,role_SUPERSEDED
D0_prefactor_cm2_s,7.112e-04,5.753e-04,1.2362,the prefactor being decomposed
a_hop_1stshell_A,3.395,3.49,0.9728,jump distance (a^2 ratio 0.9463)
z_connectivity_<4A,4.1,3.56,1.1517,# Li-Li pathways per Li
geometry_a2z,,,1.0898,= a^2 x z (structural)
dynamics_nu_expSm,,,1.1343,= nu x exp(S_m/kB) (attempt freq x migration entropy; residual)
# D0 = (1/6) z a^2 nu exp(S_m/kB). D0_ratio 1.236 = geometry(1.07) x dynamics(1.16).
# geometry: b2o3 hops slightly SHORTER (a 3.40 vs 3.49 A) but Li network MORE connected (z 4.10 vs 3.56).
# dynamics: attempt frequency x migration entropy; supported by b2o3 soft Li-libration ~130 cm-1 (phonon). nu vs S_m split needs LPSCl1.6 phonon (not yet computed).
# NOTE z (local connectivity in D0) is distinct from n_Li (carrier density in sigma); related but different roles, no double-count.
# a,z are first-coordination-shell estimates from DFT-V0 CIFs (b2o3_relaxV0, modelc_v3_62atom_V0) -> the geometry/dynamics split is approximate (+-few %).
