"# modelC (LPSCl1.6) DOS/PDOS (states/eV), gap=2.1 eV, Gaussian sigma=0.15 eV, EF=0, bonding=below 0"
E_minus_EF_eV,DOS_total,DOS_S,DOS_P,DOS_Cl,DOS_Li
-7.515,0.0000,0.0000,0.0000,0.0000,0.0000
-7.505,0.0000,0.0000,0.0000,0.0000,0.0000
-7.495,0.0000,0.0000,0.0000,0.0000,0.0000
-7.485,0.0000,0.0000,0.0000,0.0000,0.0000
-7.475,0.0000,0.0000,0.0000,0.0000,0.0000
-7.465,0.0000,0.0000,0.0000,0.0000,0.0000
-7.455,0.0000,0.0000,0.0000,0.0000,0.0000
-7.445,0.0000,0.0000,0.0000,0.0000,0.0000
-7.435,0.0000,0.0000,0.0000,0.0000,0.0000
-7.425,0.0000,0.0000,0.0000,0.0000,0.0000
-7.415,0.0000,0.0000,0.0000,0.0000,0.0000
-7.405,0.0000,0.0000,0.0000,0.0000,0.0000
-7.395,0.0000,0.0000,0.0000,0.0000,0.0000
-7.385,0.0000,0.0000,0.0000,0.0000,0.0000
-7.375,0.0000,0.0000,0.0000,0.0000,0.0000
-7.365,0.0000,0.0000,0.0000,0.0000,0.0000
-7.355,0.0000,0.0000,0.0000,0.0000,0.0000
-7.345,0.0000,0.0000,0.0000,0.0000,0.0000
-7.335,0.0000,0.0000,0.0000,0.0000,0.0000
-7.325,0.0000,0.0000,0.0000,0.0000,0.0000
-7.315,0.0000,0.0000,0.0000,0.0000,0.0000
-7.305,0.0000,0.0000,0.0000,0.0000,0.0000
-7.295,0.0000,0.0000,0.0000,0.0000,0.0000
-7.285,0.0000,0.0000,0.0000,0.0000,0.0000
-7.275,0.0000,0.0000,0.0000,0.0000,0.0000
-7.265,0.0000,0.0000,0.0000,0.0000,0.0000
-7.255,0.0000,0.0000,0.0000,0.0000,0.0000
-7.245,0.0000,0.0000,0.0000,0.0000,0.0000
-7.235,0.0000,0.0000,0.0000,0.0000,0.0000
-7.225,0.0000,0.0000,0.0000,0.0000,0.0000
-7.215,0.0000,0.0000,0.0000,0.0000,0.0000
-7.205,0.0000,0.0000,0.0000,0.0000,0.0000
-7.195,0.0000,0.0000,0.0000,0.0000,0.0000
-7.185,0.0000,0.0000,0.0000,0.0000,0.0000
-7.175,0.0000,0.0000,0.0000,0.0000,0.0000
-7.165,0.0000,0.0000,0.0000,0.0000,0.0000
-7.155,0.0000,0.0000,0.0000,0.0000,0.0000
-7.145,0.0000,0.0000,0.0000,0.0000,0.0000
-7.135,0.0000,0.0000,0.0000,0.0000,0.0000
-7.125,0.0000,0.0000,0.0000,0.0000,0.0000
-7.115,0.0000,0.0000,0.0000,0.0000,0.0000
-7.105,0.0000,0.0000,0.0000,0.0000,0.0000
-7.095,0.0000,0.0000,0.0000,0.0000,0.0000
-7.085,0.0000,0.0000,0.0000,0.0000,0.0000
-7.075,0.0000,0.0000,0.0000,0.0000,0.0000
-7.065,0.0000,0.0000,0.0000,0.0000,0.0000
-7.055,0.0000,0.0000,0.0000,0.0000,0.0000
-7.045,0.0000,0.0000,0.0000,0.0000,0.0000
-7.035,0.0000,0.0000,0.0000,0.0000,0.0000
-7.025,0.0000,0.0000,0.0000,0.0000,0.0000
-7.015,0.0000,0.0000,0.0000,0.0000,0.0000
-7.005,0.0000,0.0000,0.0000,0.0000,0.0000
-6.995,0.0000,0.0000,0.0000,0.0000,0.0000
-6.985,0.0000,0.0000,0.0000,0.0000,0.0000
-6.975,0.0000,0.0000,0.0000,0.0000,0.0000
-6.965,0.0000,0.0000,0.0000,0.0000,0.0000
-6.955,0.0000,0.0000,0.0000,0.0000,0.0000
-6.945,0.0000,0.0000,0.0000,0.0000,0.0000
-6.935,0.0000,0.0000,0.0000,0.0000,0.0000
-6.925,0.0000,0.0000,0.0000,0.0000,0.0000
-6.915,0.0000,0.0000,0.0000,0.0000,0.0000
-6.905,0.0000,0.0000,0.0000,0.0000,0.0000
-6.895,0.0000,0.0000,0.0000,0.0000,0.0000
-6.885,0.0000,0.0000,0.0000,0.0000,0.0000
-6.875,0.0000,0.0000,0.0000,0.0000,0.0000
-6.865,0.0000,0.0000,0.0000,0.0000,0.0000
-6.855,0.0000,0.0000,0.0000,0.0000,0.0000
-6.845,0.0000,0.0000,0.0000,0.0000,0.0000
-6.835,0.0000,0.0000,0.0000,0.0000,0.0000
-6.825,0.0000,0.0000,0.0000,0.0000,0.0000
-6.815,0.0000,0.0000,0.0000,0.0000,0.0000
-6.805,0.0000,0.0000,0.0000,0.0000,0.0000
-6.795,0.0000,0.0000,0.0000,0.0000,0.0000
-6.785,0.0000,0.0000,0.0000,0.0000,0.0000
-6.775,0.0000,0.0000,0.0000,0.0000,0.0000
-6.765,0.0000,0.0000,0.0000,0.0000,0.0000
-6.755,0.0000,0.0000,0.0000,0.0000,0.0000
-6.745,0.0000,0.0000,0.0000,0.0000,0.0000
-6.735,0.0001,0.0001,0.0000,0.0000,0.0000
-6.725,0.0002,0.0001,0.0001,0.0000,0.0000
-6.715,0.0003,0.0002,0.0001,0.0000,0.0000
-6.705,0.0005,0.0003,0.0001,0.0000,0.0001
-6.695,0.0007,0.0004,0.0002,0.0000,0.0001
-6.685,0.0010,0.0006,0.0003,0.0000,0.0001
-6.675,0.0014,0.0008,0.0004,0.0000,0.0002
-6.665,0.0020,0.0012,0.0006,0.0000,0.0002
-6.655,0.0026,0.0016,0.0008,0.0000,0.0003
-6.645,0.0035,0.0020,0.0010,0.0000,0.0004
-6.635,0.0045,0.0027,0.0013,0.0000,0.0005
-6.625,0.0059,0.0034,0.0017,0.0000,0.0007
-6.615,0.0075,0.0044,0.0021,0.0000,0.0009
-6.605,0.0095,0.0056,0.0027,0.0001,0.0011
-6.595,0.0120,0.0071,0.0034,0.0001,0.0014
-6.585,0.0151,0.0089,0.0043,0.0001,0.0017
-6.575,0.0189,0.0111,0.0054,0.0001,0.0022
-6.565,0.0236,0.0138,0.0067,0.0001,0.0027
-6.555,0.0292,0.0171,0.0083,0.0002,0.0033
-6.545,0.0359,0.0211,0.0103,0.0002,0.0041
-6.535,0.0440,0.0258,0.0126,0.0002,0.0050
-6.525,0.0538,0.0316,0.0154,0.0003,0.0061
-6.515,0.0654,0.0384,0.0187,0.0004,0.0074
-6.505,0.0791,0.0465,0.0227,0.0004,0.0090
-6.495,0.0954,0.0560,0.0273,0.0005,0.0108
-6.485,0.1146,0.0673,0.0328,0.0006,0.0130
-6.475,0.1370,0.0804,0.0393,0.0008,0.0155
-6.465,0.1632,0.0958,0.0468,0.0009,0.0185
-6.455,0.1937,0.1137,0.0556,0.0011,0.0219
-6.445,0.2289,0.1344,0.0657,0.0013,0.0259
-6.435,0.2695,0.1582,0.0774,0.0015,0.0304
-6.425,0.3161,0.1856,0.0908,0.0018,0.0357
-6.415,0.3694,0.2168,0.1061,0.0021,0.0417
-6.405,0.4300,0.2524,0.1235,0.0024,0.0485
-6.395,0.4986,0.2927,0.1433,0.0028,0.0561
-6.385,0.5760,0.3381,0.1656,0.0033,0.0648
-6.375,0.6631,0.3893,0.1906,0.0038,0.0746
-6.365,0.7604,0.4464,0.2187,0.0043,0.0854
-6.355,0.8689,0.5101,0.2499,0.0050,0.0975
-6.345,0.9892,0.5808,0.2846,0.0057,0.1109
-6.335,1.1221,0.6588,0.3229,0.0064,0.1257
-6.325,1.2683,0.7447,0.3651,0.0073,0.1420
-6.315,1.4285,0.8388,0.4113,0.0082,0.1597
-6.305,1.6033,0.9415,0.4618,0.0092,0.1791
-6.295,1.7932,1.0531,0.5166,0.0103,0.2001
-6.285,1.9987,1.1739,0.5759,0.0115,0.2228
-6.275,2.2202,1.3041,0.6399,0.0128,0.2472
-6.265,2.4581,1.4440,0.7086,0.0142,0.2734
-6.255,2.7124,1.5935,0.7821,0.0158,0.3013
-6.245,2.9832,1.7528,0.8604,0.0174,0.3309
-6.235,3.2705,1.9218,0.9434,0.0191,0.3623
-6.225,3.5739,2.1004,1.0312,0.0209,0.3954
-6.215,3.8932,2.2884,1.1235,0.0229,0.4301
-6.205,4.2282,2.4857,1.2204,0.0250,0.4664
-6.195,4.5778,2.6917,1.3216,0.0271,0.5042
-6.185,4.9416,2.9060,1.4269,0.0294,0.5433
-6.175,5.3184,3.1282,1.5359,0.0318,0.5838
-6.165,5.7074,3.3576,1.6486,0.0343,0.6254
-6.155,6.1077,3.5939,1.7645,0.0369,0.6681
-6.145,6.5181,3.8361,1.8833,0.0396,0.7117
-6.135,6.9372,4.0837,2.0047,0.0425,0.7560
-6.125,7.3639,4.3359,2.1283,0.0454,0.8009
-6.115,7.7966,4.5918,2.2537,0.0484,0.8463
-6.105,8.2342,4.8507,2.3804,0.0515,0.8919
-6.095,8.6750,5.1117,2.5081,0.0547,0.9376
-6.085,9.1177,5.3741,2.6364,0.0580,0.9833
-6.075,9.5610,5.6370,2.7648,0.0614,1.0287
-6.065,10.0037,5.8997,2.8930,0.0649,1.0738
-6.055,10.4444,6.1615,3.0207,0.0685,1.1185
-6.045,10.8821,6.4216,3.1474,0.0722,1.1624
-6.035,11.3155,6.6796,3.2729,0.0760,1.2057
-6.025,11.7439,6.9347,3.3968,0.0798,1.2480
-6.015,12.1661,7.1864,3.5190,0.0838,1.2895
-6.005,12.5816,7.4344,3.6391,0.0879,1.3298
-5.995,12.9897,7.6783,3.7570,0.0922,1.3691
-5.985,13.3898,7.9176,3.8726,0.0965,1.4072
-5.975,13.7817,8.1523,3.9856,0.1010,1.4441
-5.965,14.1650,8.3823,4.0962,0.1056,1.4798
-5.955,14.5398,8.6073,4.2041,0.1105,1.5142
-5.945,14.9061,8.8277,4.3094,0.1155,1.5474
-5.935,15.2641,9.0433,4.4123,0.1207,1.5794
-5.925,15.6140,9.2543,4.5126,0.1261,1.6101
-5.915,15.9564,9.4612,4.6106,0.1318,1.6397
-5.905,16.2919,9.6643,4.7065,0.1377,1.6682
-5.895,16.6213,9.8639,4.8005,0.1440,1.6956
-5.885,16.9454,10.0607,4.8927,0.1506,1.7220
-5.875,17.2652,10.2552,4.9835,0.1575,1.7475
-5.865,17.5815,10.4480,5.0731,0.1649,1.7722
-5.855,17.8958,10.6398,5.1619,0.1726,1.7961
-5.845,18.2090,10.8313,5.2502,0.1809,1.8194
-5.835,18.5225,11.0233,5.3384,0.1896,1.8421
-5.825,18.8379,11.2168,5.4269,0.1988,1.8644
-5.815,19.1565,11.4126,5.5161,0.2086,1.8863
-5.805,19.4798,11.6115,5.6065,0.2190,1.9080
-5.795,19.8093,11.8146,5.6985,0.2300,1.9295
-5.785,20.1465,12.0226,5.7925,0.2416,1.9510
-5.775,20.4929,12.2366,5.8890,0.2540,1.9725
-5.765,20.8499,12.4574,5.9883,0.2670,1.9943
-5.755,21.2190,12.6858,6.0911,0.2808,2.0162
-5.745,21.6015,12.9227,6.1975,0.2953,2.0385
-5.735,21.9986,13.1689,6.3081,0.3105,2.0613
-5.725,22.4113,13.4249,6.4232,0.3265,2.0845
-5.715,22.8408,13.6915,6.5430,0.3432,2.1082
-5.705,23.2876,13.9690,6.6679,0.3607,2.1326
-5.695,23.7524,14.2577,6.7980,0.3789,2.1575
-5.685,24.2354,14.5579,6.9334,0.3978,2.1831
-5.675,24.7369,14.8697,7.0743,0.4173,2.2093
-5.665,25.2568,15.1930,7.2207,0.4375,2.2361
-5.655,25.7947,15.5276,7.3725,0.4582,2.2635
-5.645,26.3500,15.8732,7.5296,0.4795,2.2915
-5.635,26.9219,16.2292,7.6918,0.5012,2.3199
-5.625,27.5092,16.5950,7.8588,0.5233,2.3488
-5.615,28.1105,16.9696,8.0303,0.5457,2.3779
-5.605,28.7242,17.3520,8.2057,0.5683,2.4072
-5.595,29.3481,17.7410,8.3846,0.5911,2.4366
-5.585,29.9802,18.1352,8.5664,0.6139,2.4659
-5.575,30.6180,18.5332,8.7503,0.6366,2.4950
-5.565,31.2586,18.9332,8.9356,0.6592,2.5236
-5.555,31.8994,19.3334,9.1215,0.6816,2.5517
-5.545,32.5370,19.7321,9.3072,0.7036,2.5790
-5.535,33.1683,20.1270,9.4916,0.7251,2.6053
-5.525,33.7899,20.5163,9.6737,0.7461,2.6305
-5.515,34.3981,20.8975,9.8527,0.7664,2.6543
-5.505,34.9895,21.2686,10.0273,0.7860,2.6765
-5.495,35.5604,21.6273,10.1965,0.8047,2.6969
-5.485,36.1069,21.9713,10.3593,0.8225,2.7154
-5.475,36.6255,22.2982,10.5144,0.8392,2.7317
-5.465,37.1125,22.6059,10.6609,0.8549,2.7456
-5.455,37.5642,22.8921,10.7976,0.8694,2.7569
-5.445,37.9772,23.1546,10.9235,0.8826,2.7655
-5.435,38.3483,23.3914,11.0375,0.8945,2.7712
-5.425,38.6741,23.6005,11.1387,0.9051,2.7739
-5.415,38.9517,23.7800,11.2262,0.9143,2.7733
-5.405,39.1783,23.9282,11.2991,0.9221,2.7695
-5.395,39.3513,24.0435,11.3566,0.9284,2.7622
-5.385,39.4686,24.1245,11.3979,0.9332,2.7514
-5.375,39.5282,24.1699,11.4226,0.9365,2.7371
-5.365,39.5283,24.1787,11.4300,0.9383,2.7191
-5.355,39.4677,24.1500,11.4197,0.9385,2.6975
-5.345,39.3455,24.0833,11.3913,0.9372,2.6722
-5.335,39.1609,23.9780,11.3447,0.9344,2.6433
-5.325,38.9136,23.8341,11.2797,0.9301,2.6108
-5.315,38.6037,23.6514,11.1963,0.9243,2.5747
-5.305,38.2316,23.4302,11.0945,0.9171,2.5351
-5.295,37.7983,23.1709,10.9747,0.9085,2.4922
-5.285,37.3047,22.8743,10.8369,0.8985,2.4461
-5.275,36.7525,22.5412,10.6818,0.8873,2.3968
-5.265,36.1433,22.1727,10.5097,0.8748,2.3446
-5.255,35.4793,21.7700,10.3212,0.8612,2.2896
-5.245,34.7630,21.3346,10.1171,0.8467,2.2320
-5.235,33.9966,20.8681,9.8981,0.8308,2.1719
-5.225,33.1833,20.3723,9.6651,0.8139,2.1097
-5.215,32.3264,19.8492,9.4189,0.7961,2.0455
-5.205,31.4293,19.3008,9.1606,0.7775,1.9795
-5.195,30.4956,18.7294,8.8911,0.7583,1.9121
-5.185,29.5293,18.1372,8.6117,0.7386,1.8434
-5.175,28.5342,17.5266,8.3233,0.7186,1.7737
-5.165,27.5145,16.9003,8.0274,0.6983,1.7034
-5.155,26.4745,16.2606,7.7249,0.6781,1.6327
-5.145,25.4186,15.6103,7.4172,0.6580,1.5618
-5.135,24.3511,14.9520,7.1056,0.6384,1.4910
-5.125,23.2767,14.2884,6.7912,0.6194,1.4207
-5.115,22.1997,13.6220,6.4754,0.6014,1.3511
-5.105,21.1249,12.9555,6.1594,0.5849,1.2826
-5.095,20.0568,12.2916,5.8444,0.5702,1.2153
-5.085,18.9995,11.6327,5.5316,0.5573,1.1497
-5.075,17.9573,10.9813,5.2222,0.5469,1.0859
-5.065,16.9345,10.3398,4.9172,0.5392,1.0242
-5.055,15.9351,9.7104,4.6178,0.5348,0.9649
-5.045,14.9633,9.0952,4.3250,0.5341,0.9082
-5.035,14.0225,8.4964,4.0397,0.5378,0.8545
-5.025,13.1162,7.9155,3.7627,0.5461,0.8040
-5.015,12.2479,7.3545,3.4949,0.5598,0.7569
-5.005,11.4203,6.8146,3.2369,0.5794,0.7134
-4.995,10.6360,6.2972,2.9893,0.6055,0.6737
-4.985,9.8978,5.8034,2.7527,0.6386,0.6380
-4.975,9.2074,5.3342,2.5274,0.6792,0.6066
-4.965,8.5669,4.8901,2.3139,0.7281,0.5795
-4.955,7.9774,4.4718,2.1122,0.7858,0.5568
-4.945,7.4397,4.0792,1.9225,0.8526,0.5388
-4.935,6.9550,3.7127,1.7448,0.9292,0.5255
-4.925,6.5234,3.3721,1.5791,1.0161,0.5169
-4.915,6.1453,3.0572,1.4253,1.1137,0.5132
-4.905,5.8201,2.7676,1.2831,1.2221,0.5143
-4.895,5.5475,2.5026,1.1523,1.3421,0.5202
-4.885,5.3265,2.2616,1.0324,1.4734,0.5310
-4.875,5.1560,2.0437,0.9233,1.6166,0.5465
-4.865,5.0345,1.8480,0.8242,1.7714,0.5667
-4.855,4.9606,1.6735,0.7348,1.9382,0.5915
-4.845,4.9327,1.5191,0.6546,2.1170,0.6209
-4.835,4.9490,1.3836,0.5829,2.3076,0.6546
-4.825,5.0068,1.2660,0.5194,2.5096,0.6925
-4.815,5.1044,1.1650,0.4633,2.7229,0.7344
-4.805,5.2397,1.0796,0.4141,2.9474,0.7803
-4.795,5.4105,1.0085,0.3714,3.1828,0.8298
-4.785,5.6145,0.9506,0.3344,3.4286,0.8829
-4.775,5.8500,0.9049,0.3028,3.6847,0.9394
-4.765,6.1150,0.8704,0.2761,3.9510,0.9992
-4.755,6.4072,0.8461,0.2536,4.2269,1.0620
-4.745,6.7250,0.8309,0.2350,4.5123,1.1277
-4.735,7.0674,0.8243,0.2198,4.8072,1.1962
-4.725,7.4323,0.8253,0.2077,5.1113,1.2675
-4.715,7.8190,0.8333,0.1983,5.4247,1.3414
-4.705,8.2269,0.8478,0.1913,5.7477,1.4179
-4.695,8.6547,0.8680,0.1863,6.0802,1.4970
-4.685,9.1022,0.8936,0.1831,6.4225,1.5786
-4.675,9.5691,0.9242,0.1814,6.7750,1.6629
-4.665,10.0555,0.9594,0.1810,7.1384,1.7498
-4.655,10.5624,0.9993,0.1819,7.5135,1.8396
-4.645,11.0893,1.0433,0.1837,7.9005,1.9322
-4.635,11.6371,1.0915,0.1863,8.3004,2.0278
-4.625,12.2064,1.1437,0.1898,8.7137,2.1265
-4.615,12.7977,1.1998,0.1938,9.1414,2.2285
-4.605,13.4129,1.2598,0.1984,9.5849,2.3339
-4.595,14.0516,1.3235,0.2034,10.0441,2.4429
-4.585,14.7155,1.3912,0.2088,10.5203,2.5556
-4.575,15.4049,1.4627,0.2146,11.0140,2.6720
-4.565,16.1214,1.5381,0.2208,11.5265,2.7924
-4.555,16.8641,1.6174,0.2272,12.0573,2.9166
-4.545,17.6344,1.7005,0.2339,12.6074,3.0449
-4.535,18.4323,1.7875,0.2408,13.1769,3.1771
-4.525,19.2577,1.8783,0.2480,13.7661,3.3132
-4.515,20.1100,1.9728,0.2553,14.3743,3.4530
-4.505,20.9893,2.0709,0.2628,15.0020,3.5966
-4.495,21.8956,2.1726,0.2705,15.6492,3.7437
-4.485,22.8269,2.2778,0.2784,16.3144,3.8941
-4.475,23.7825,2.3863,0.2865,16.9975,4.0475
-4.465,24.7604,2.4978,0.2946,17.6970,4.2036
-4.455,25.7593,2.6122,0.3029,18.4122,4.3620
-4.445,26.7774,2.7290,0.3112,19.1419,4.5224
-4.435,27.8129,2.8482,0.3196,19.8850,4.6844
-4.425,28.8639,2.9694,0.3280,20.6404,4.8476
-4.415,29.9278,3.0923,0.3365,21.4062,5.0115
-4.405,31.0027,3.2167,0.3449,22.1813,5.1756
-4.395,32.0870,3.3422,0.3532,22.9647,5.3397
-4.385,33.1770,3.4684,0.3615,23.7539,5.5031
-4.375,34.2713,3.5951,0.3697,24.5480,5.6653
-4.365,35.3675,3.7220,0.3779,25.3455,5.8261
-4.355,36.4638,3.8488,0.3859,26.1452,5.9849
-4.345,37.5581,3.9752,0.3938,26.9458,6.1415
-4.335,38.6486,4.1008,0.4015,27.7460,6.2953
-4.325,39.7334,4.2256,0.4091,28.5448,6.4461
-4.315,40.8112,4.3491,0.4166,29.3412,6.5936
-4.305,41.8804,4.4712,0.4238,30.1342,6.7375
-4.295,42.9397,4.5917,0.4309,30.9230,6.8776
-4.285,43.9878,4.7103,0.4378,31.7068,7.0135
-4.275,45.0233,4.8269,0.4445,32.4845,7.1452
-4.265,46.0454,4.9413,0.4510,33.2557,7.2724
-4.255,47.0532,5.0533,0.4573,34.0197,7.3950
-4.245,48.0455,5.1628,0.4634,34.7758,7.5130
-4.235,49.0212,5.2696,0.4693,35.5230,7.6260
-4.225,49.9792,5.3736,0.4750,36.2606,7.7342
-4.215,50.9183,5.4746,0.4805,36.9877,7.8372
-4.205,51.8374,5.5723,0.4858,37.7033,7.9351
-4.195,52.7349,5.6668,0.4908,38.4063,8.0278
-4.185,53.6092,5.7576,0.4956,39.0954,8.1150
-4.175,54.4587,5.8448,0.5002,39.7692,8.1968
-4.165,55.2814,5.9279,0.5045,40.4262,8.2729
-4.155,56.0753,6.0069,0.5085,41.0647,8.3431
-4.145,56.8380,6.0814,0.5122,41.6828,8.4075
-4.135,57.5670,6.1513,0.5155,42.2786,8.4656
-4.125,58.2598,6.2162,0.5185,42.8499,8.5174
-4.115,58.9134,6.2758,0.5212,43.3943,8.5626
-4.105,59.5250,6.3300,0.5234,43.9095,8.6010
-4.095,60.0915,6.3785,0.5251,44.3930,8.6324
-4.085,60.6097,6.4209,0.5264,44.8421,8.6566
-4.075,61.0766,6.4569,0.5272,45.2544,8.6732
-4.065,61.4891,6.4865,0.5275,45.6272,8.6821
-4.055,61.8443,6.5092,0.5272,45.9581,8.6831
-4.045,62.1391,6.5250,0.5263,46.2445,8.6759
-4.035,62.3707,6.5336,0.5248,46.4841,8.6605
-4.025,62.5372,6.5349,0.5227,46.6749,8.6366
-4.015,62.6357,6.5288,0.5199,46.8146,8.6042
-4.005,62.6641,6.5151,0.5164,46.9014,8.5630
-3.995,62.6209,6.4940,0.5123,46.9336,8.5132
-3.985,62.5045,6.4652,0.5076,46.9098,8.4545
-3.975,62.3139,6.4289,0.5021,46.8290,8.3872
-3.965,62.0483,6.3851,0.4960,46.6902,8.3111
-3.955,61.7075,6.3339,0.4892,46.4931,8.2265
-3.945,61.2916,6.2755,0.4818,46.2372,8.1334
-3.935,60.8009,6.2101,0.4738,45.9228,8.0320
-3.925,60.2363,6.1378,0.4653,45.5502,7.9225
-3.915,59.5990,6.0590,0.4561,45.1199,7.8053
-3.905,58.8904,5.9738,0.4465,44.6330,7.6804
-3.895,58.1121,5.8825,0.4364,44.0905,7.5483
-3.885,57.2665,5.7854,0.4258,43.4940,7.4091
-3.875,56.3563,5.6829,0.4149,42.8453,7.2635
-3.865,55.3839,5.5754,0.4036,42.1463,7.1116
-3.855,54.3525,5.4631,0.3921,41.3992,6.9539
-3.845,53.2649,5.3465,0.3802,40.6062,6.7907
-3.835,52.1243,5.2259,0.3682,39.7696,6.6225
-3.825,50.9347,5.1018,0.3560,38.8923,6.4496
-3.815,49.6996,4.9746,0.3437,37.9769,6.2727
-3.805,48.4231,4.8449,0.3313,37.0264,6.0920
-3.795,47.1091,4.7133,0.3189,36.0437,5.9081
-3.785,45.7614,4.5800,0.3065,35.0318,5.7215
-3.775,44.3842,4.4456,0.2942,33.9940,5.5326
-3.765,42.9821,4.3108,0.2819,32.9333,5.3419
-3.755,41.5593,4.1760,0.2697,31.8530,5.1499
-3.745,40.1203,4.0420,0.2577,30.7564,4.9571
-3.735,38.6698,3.9095,0.2458,29.6468,4.7642
-3.725,37.2123,3.7791,0.2341,28.5275,4.5715
-3.715,35.7526,3.6518,0.2227,27.4019,4.3798
-3.705,34.2954,3.5283,0.2115,26.2731,4.1894
-3.695,32.8458,3.4096,0.2005,25.1447,4.0011
-3.685,31.4080,3.2964,0.1899,24.0197,3.8154
-3.675,29.9873,3.1898,0.1795,22.9017,3.6327
-3.665,28.5881,3.0906,0.1694,21.7935,3.4538
-3.655,27.2153,2.9999,0.1597,20.6985,3.2791
-3.645,25.8734,2.9187,0.1503,19.6196,3.1092
-3.635,24.5669,2.8480,0.1413,18.5596,2.9446
-3.625,23.3003,2.7889,0.1326,17.5214,2.7859
-3.615,22.0783,2.7425,0.1243,16.5081,2.6336
-3.605,20.9048,2.7099,0.1164,15.5218,2.4881
-3.595,19.7834,2.6920,0.1089,14.5650,2.3499
-3.585,18.7178,2.6898,0.1018,13.6399,2.2194
-3.575,17.7116,2.7044,0.0951,12.7485,2.0969
-3.565,16.7674,2.7365,0.0888,11.8925,1.9828
-3.555,15.8880,2.7870,0.0829,11.0734,1.8773
-3.545,15.0765,2.8570,0.0775,10.2928,1.7808
-3.535,14.3345,2.9470,0.0724,9.5518,1.6935
-3.525,13.6635,3.0578,0.0678,8.8508,1.6153
-3.515,13.0651,3.1898,0.0636,8.1910,1.5466
-3.505,12.5404,3.3438,0.0598,7.5724,1.4873
-3.495,12.0895,3.5202,0.0564,6.9950,1.4375
-3.485,11.7127,3.7190,0.0534,6.4589,1.3970
-3.475,11.4103,3.9409,0.0508,5.9638,1.3659
-3.465,11.1816,4.1862,0.0486,5.5090,1.3441
-3.455,11.0252,4.4545,0.0467,5.0936,1.3312
-3.445,10.9398,4.7459,0.0453,4.7164,1.3272
-3.435,10.9249,5.0607,0.0441,4.3767,1.3318
-3.425,10.9781,5.3985,0.0433,4.0730,1.3449
-3.415,11.0976,5.7590,0.0428,3.8039,1.3660
