"# modelC (LPSCl1.6) DOS/PDOS (states/eV), gap=2.1 eV, Gaussian sigma=0.15 eV, EF=0, bonding=below 0"
E_minus_EF_eV,DOS_total,DOS_S,DOS_P,DOS_Cl,DOS_Li
-7.995,0.0000,0.0000,0.0000,0.0000,0.0000
-7.985,0.0000,0.0000,0.0000,0.0000,0.0000
-7.975,0.0000,0.0000,0.0000,0.0000,0.0000
-7.965,0.0000,0.0000,0.0000,0.0000,0.0000
-7.955,0.0000,0.0000,0.0000,0.0000,0.0000
-7.945,0.0000,0.0000,0.0000,0.0000,0.0000
-7.935,0.0000,0.0000,0.0000,0.0000,0.0000
-7.925,0.0000,0.0000,0.0000,0.0000,0.0000
-7.915,0.0000,0.0000,0.0000,0.0000,0.0000
-7.905,0.0000,0.0000,0.0000,0.0000,0.0000
-7.895,0.0000,0.0000,0.0000,0.0000,0.0000
-7.885,0.0000,0.0000,0.0000,0.0000,0.0000
-7.875,0.0000,0.0000,0.0000,0.0000,0.0000
-7.865,0.0000,0.0000,0.0000,0.0000,0.0000
-7.855,0.0000,0.0000,0.0000,0.0000,0.0000
-7.845,0.0000,0.0000,0.0000,0.0000,0.0000
-7.835,0.0000,0.0000,0.0000,0.0000,0.0000
-7.825,0.0000,0.0000,0.0000,0.0000,0.0000
-7.815,0.0000,0.0000,0.0000,0.0000,0.0000
-7.805,0.0000,0.0000,0.0000,0.0000,0.0000
-7.795,0.0000,0.0000,0.0000,0.0000,0.0000
-7.785,0.0000,0.0000,0.0000,0.0000,0.0000
-7.775,0.0000,0.0000,0.0000,0.0000,0.0000
-7.765,0.0000,0.0000,0.0000,0.0000,0.0000
-7.755,0.0000,0.0000,0.0000,0.0000,0.0000
-7.745,0.0000,0.0000,0.0000,0.0000,0.0000
-7.735,0.0000,0.0000,0.0000,0.0000,0.0000
-7.725,0.0000,0.0000,0.0000,0.0000,0.0000
-7.715,0.0000,0.0000,0.0000,0.0000,0.0000
-7.705,0.0000,0.0000,0.0000,0.0000,0.0000
-7.695,0.0000,0.0000,0.0000,0.0000,0.0000
-7.685,0.0000,0.0000,0.0000,0.0000,0.0000
-7.675,0.0000,0.0000,0.0000,0.0000,0.0000
-7.665,0.0000,0.0000,0.0000,0.0000,0.0000
-7.655,0.0000,0.0000,0.0000,0.0000,0.0000
-7.645,0.0000,0.0000,0.0000,0.0000,0.0000
-7.635,0.0000,0.0000,0.0000,0.0000,0.0000
-7.625,0.0000,0.0000,0.0000,0.0000,0.0000
-7.615,0.0000,0.0000,0.0000,0.0000,0.0000
-7.605,0.0000,0.0000,0.0000,0.0000,0.0000
-7.595,0.0000,0.0000,0.0000,0.0000,0.0000
-7.585,0.0000,0.0000,0.0000,0.0000,0.0000
-7.575,0.0000,0.0000,0.0000,0.0000,0.0000
-7.565,0.0000,0.0000,0.0000,0.0000,0.0000
-7.555,0.0000,0.0000,0.0000,0.0000,0.0000
-7.545,0.0000,0.0000,0.0000,0.0000,0.0000
-7.535,0.0000,0.0000,0.0000,0.0000,0.0000
-7.525,0.0000,0.0000,0.0000,0.0000,0.0000
