% Model,failed_normal_copy.mph
% Version,COMSOL 6.3.0.290
% Date,"Sep 15 2026, 15:36"
% Table,Table 3 - Global Evaluation 2
% Time (s),Time (s),(comp1.minsurf1(comp1.liion.socloc_surface)<0)||(comp1.maxsurf1(comp1.liion.socloc_surface)>0.98)||(comp1.minsurf3(comp1.liion.socloc_surface)<0.2228930343076256)||(comp1.maxsurf3(comp1.liion.socloc_surface)>0.983245033354389),(comp1.minsurf1(comp1.liion.socloc_surface)<=0)||(comp1.maxsurf1(comp1.liion.socloc_surface)>=1)||(comp1.minsurf3(comp1.liion.socloc_surface)<=0)||(comp1.maxsurf3(comp1.liion.socloc_surface)>=1)
0,0,0,0
1.002E-5,1.002E-5,0,0
2.002E-5,2.002E-5,0,0
4.002E-5,4.002E-5,0,0
7.001E-5,7.001E-5,0,0
1.0E-4,1.0E-4,0,0
1.5000000000000001E-4,1.5000000000000001E-4,0,0
2.0E-4,2.0E-4,0,0
2.999999999999999E-4,2.999999999999999E-4,0,0
3.999999999999998E-4,3.999999999999998E-4,0,0
5.0E-4,5.0E-4,0,0
6.0E-4,6.0E-4,0,0
6.999999999999999E-4,6.999999999999999E-4,0,0
7.999999999999998E-4,7.999999999999998E-4,0,0
8.999999999999998E-4,8.999999999999998E-4,0,0
0.001,0.001,0,0
0.0011250000000000001,0.0011250000000000001,0,0
0.0012500000000000002,0.0012500000000000002,0,0
0.0013750000000000004,0.0013750000000000004,0,0
0.0015000000000000005,0.0015000000000000005,0,0
0.0016250000000000006,0.0016250000000000006,0,0
0.0017500000000000007,0.0017500000000000007,0,0
0.0018750000000000004,0.0018750000000000004,0,0
0.002,0.002,0,0
0.002125,0.002125,0,0
0.0022500000000000003,0.0022500000000000003,0,0
0.0023750000000000004,0.0023750000000000004,0,0
0.0025000000000000005,0.0025000000000000005,0,0
0.0026250000000000006,0.0026250000000000006,0,0
0.0027500000000000007,0.0027500000000000007,0,0
0.002875000000000001,0.002875000000000001,0,0
0.003000000000000001,0.003000000000000001,0,0
0.003125000000000001,0.003125000000000001,0,0
0.003250000000000001,0.003250000000000001,0,0
0.0033750000000000013,0.0033750000000000013,0,0
0.0035000000000000014,0.0035000000000000014,0,0
0.0036250000000000015,0.0036250000000000015,0,0
0.0037500000000000016,0.0037500000000000016,0,0
0.0038750000000000017,0.0038750000000000017,0,0
0.004000000000000002,0.004000000000000002,0,0
0.004125000000000002,0.004125000000000002,0,0
0.004250000000000002,0.004250000000000002,0,0
0.004375000000000002,0.004375000000000002,0,0
0.004500000000000002,0.004500000000000002,0,0
0.004625000000000002,0.004625000000000002,0,0
0.0047500000000000025,0.0047500000000000025,0,0
0.004875000000000001,0.004875000000000001,0,0
0.005,0.005,0,0
0.005125,0.005125,0,0
0.00525,0.00525,0,0
0.0053750000000000004,0.0053750000000000004,0,0
0.0055000000000000005,0.0055000000000000005,0,0
0.005625000000000001,0.005625000000000001,0,0
0.005750000000000001,0.005750000000000001,0,0
0.005875000000000001,0.005875000000000001,0,0
0.006000000000000001,0.006000000000000001,0,0
0.006125000000000001,0.006125000000000001,0,0
0.006250000000000001,0.006250000000000001,0,0
0.006375000000000001,0.006375000000000001,0,0
0.0065000000000000014,0.0065000000000000014,0,0
0.0066250000000000015,0.0066250000000000015,0,0
0.006750000000000002,0.006750000000000002,0,0
0.006875000000000002,0.006875000000000002,0,0
0.007000000000000002,0.007000000000000002,0,0
0.007125000000000002,0.007125000000000002,0,0
0.007250000000000002,0.007250000000000002,0,0
0.007375000000000002,0.007375000000000002,0,0
0.007500000000000002,0.007500000000000002,0,0
0.0076250000000000024,0.0076250000000000024,0,0
0.0077500000000000025,0.0077500000000000025,0,0
0.007875000000000002,0.007875000000000002,0,0
0.008000000000000002,0.008000000000000002,0,0
0.008125000000000002,0.008125000000000002,0,0
0.008250000000000002,0.008250000000000002,0,0
0.008375000000000002,0.008375000000000002,0,0
0.008500000000000002,0.008500000000000002,0,0
0.008625000000000002,0.008625000000000002,0,0
0.008750000000000003,0.008750000000000003,0,0
0.008875000000000003,0.008875000000000003,0,0
0.009000000000000003,0.009000000000000003,0,0
0.009125000000000003,0.009125000000000003,0,0
0.009250000000000003,0.009250000000000003,0,0
0.009375000000000003,0.009375000000000003,0,0
0.009500000000000003,0.009500000000000003,0,0
0.009625000000000003,0.009625000000000003,0,0
0.009750000000000003,0.009750000000000003,0,0
0.009875000000000002,0.009875000000000002,0,0
0.01,0.01,0,0
0.010125,0.010125,0,0
0.01025,0.01025,0,0
0.010375,0.010375,0,0
0.0105,0.0105,0,0
0.010625,0.010625,0,0
0.010750000000000001,0.010750000000000001,0,0
0.010875000000000001,0.010875000000000001,0,0
